scenario_id,seed,customer_count,vehicle_count,charger_condition,constraint_name,evaluated_route_count,unmet_route_count,case_unmet_rate
C025_V03_CHG_balanced_SPEED25_T480,8,25,3,balanced,Payload capacity,3,0,0.0
C025_V03_CHG_broad_SPEED25_T480,8,25,3,broad,Payload capacity,3,0,0.0
C025_V03_CHG_conservative_SPEED25_T480,8,25,3,conservative,Payload capacity,3,0,0.0
C025_V05_CHG_balanced_SPEED25_T480,8,25,5,balanced,Payload capacity,5,0,0.0
C025_V05_CHG_broad_SPEED25_T480,8,25,5,broad,Payload capacity,5,0,0.0
C025_V05_CHG_conservative_SPEED25_T480,8,25,5,conservative,Payload capacity,5,0,0.0
C025_V01_CHG_balanced_SPEED25_T480,9,25,1,balanced,Payload capacity,1,0,0.0
C025_V01_CHG_broad_SPEED25_T480,9,25,1,broad,Payload capacity,1,0,0.0
C025_V01_CHG_conservative_SPEED25_T480,9,25,1,conservative,Payload capacity,1,0,0.0
C025_V03_CHG_balanced_SPEED25_T480,9,25,3,balanced,Payload capacity,3,0,0.0
C025_V03_CHG_broad_SPEED25_T480,9,25,3,broad,Payload capacity,3,0,0.0
C025_V03_CHG_conservative_SPEED25_T480,9,25,3,conservative,Payload capacity,3,0,0.0
C025_V05_CHG_balanced_SPEED25_T480,9,25,5,balanced,Payload capacity,5,0,0.0
C025_V05_CHG_broad_SPEED25_T480,9,25,5,broad,Payload capacity,5,0,0.0
C025_V05_CHG_conservative_SPEED25_T480,9,25,5,conservative,Payload capacity,5,0,0.0
C025_V01_CHG_balanced_SPEED25_T480,10,25,1,balanced,Payload capacity,1,0,0.0
C025_V01_CHG_broad_SPEED25_T480,10,25,1,broad,Payload capacity,1,0,0.0
C025_V01_CHG_conservative_SPEED25_T480,10,25,1,conservative,Payload capacity,1,0,0.0
C025_V03_CHG_balanced_SPEED25_T480,10,25,3,balanced,Payload capacity,3,0,0.0
C025_V03_CHG_broad_SPEED25_T480,10,25,3,broad,Payload capacity,3,0,0.0
C025_V03_CHG_conservative_SPEED25_T480,10,25,3,conservative,Payload capacity,3,0,0.0
C025_V05_CHG_balanced_SPEED25_T480,10,25,5,balanced,Payload capacity,5,0,0.0
C025_V05_CHG_broad_SPEED25_T480,10,25,5,broad,Payload capacity,5,0,0.0
C025_V05_CHG_conservative_SPEED25_T480,10,25,5,conservative,Payload capacity,5,0,0.0
C025_V01_CHG_balanced_SPEED25_T480,11,25,1,balanced,Payload capacity,1,0,0.0
C025_V01_CHG_broad_SPEED25_T480,11,25,1,broad,Payload capacity,1,0,0.0
C025_V01_CHG_conservative_SPEED25_T480,11,25,1,conservative,Payload capacity,1,0,0.0
C025_V03_CHG_balanced_SPEED25_T480,11,25,3,balanced,Payload capacity,3,0,0.0
C025_V03_CHG_broad_SPEED25_T480,11,25,3,broad,Payload capacity,3,0,0.0
C025_V03_CHG_conservative_SPEED25_T480,11,25,3,conservative,Payload capacity,3,0,0.0
C025_V05_CHG_balanced_SPEED25_T480,11,25,5,balanced,Payload capacity,5,0,0.0
C025_V05_CHG_broad_SPEED25_T480,11,25,5,broad,Payload capacity,5,0,0.0
C025_V05_CHG_conservative_SPEED25_T480,11,25,5,conservative,Payload capacity,5,0,0.0
C025_V01_CHG_balanced_SPEED25_T480,12,25,1,balanced,Payload capacity,1,0,0.0
C025_V01_CHG_broad_SPEED25_T480,12,25,1,broad,Payload capacity,1,0,0.0
C025_V01_CHG_conservative_SPEED25_T480,12,25,1,conservative,Payload capacity,1,0,0.0
C025_V03_CHG_balanced_SPEED25_T480,12,25,3,balanced,Payload capacity,3,0,0.0
C025_V03_CHG_broad_SPEED25_T480,12,25,3,broad,Payload capacity,3,0,0.0
C025_V03_CHG_conservative_SPEED25_T480,12,25,3,conservative,Payload capacity,3,0,0.0
C025_V05_CHG_balanced_SPEED25_T480,12,25,5,balanced,Payload capacity,5,0,0.0
C025_V05_CHG_broad_SPEED25_T480,12,25,5,broad,Payload capacity,5,0,0.0
C025_V05_CHG_conservative_SPEED25_T480,12,25,5,conservative,Payload capacity,5,0,0.0
C025_V01_CHG_balanced_SPEED25_T480,13,25,1,balanced,Payload capacity,1,0,0.0
C025_V01_CHG_broad_SPEED25_T480,13,25,1,broad,Payload capacity,1,0,0.0
C025_V01_CHG_conservative_SPEED25_T480,13,25,1,conservative,Payload capacity,1,0,0.0
C025_V03_CHG_balanced_SPEED25_T480,13,25,3,balanced,Payload capacity,3,0,0.0
C025_V03_CHG_broad_SPEED25_T480,13,25,3,broad,Payload capacity,3,0,0.0
C025_V03_CHG_conservative_SPEED25_T480,13,25,3,conservative,Payload capacity,3,0,0.0
C025_V05_CHG_balanced_SPEED25_T480,13,25,5,balanced,Payload capacity,5,0,0.0
C025_V05_CHG_broad_SPEED25_T480,13,25,5,broad,Payload capacity,5,0,0.0
C025_V05_CHG_conservative_SPEED25_T480,13,25,5,conservative,Payload capacity,5,0,0.0
C025_V01_CHG_balanced_SPEED25_T480,14,25,1,balanced,Payload capacity,1,0,0.0
C025_V01_CHG_broad_SPEED25_T480,14,25,1,broad,Payload capacity,1,0,0.0
C025_V01_CHG_conservative_SPEED25_T480,14,25,1,conservative,Payload capacity,1,0,0.0
C025_V03_CHG_balanced_SPEED25_T480,14,25,3,balanced,Payload capacity,3,0,0.0
C025_V03_CHG_broad_SPEED25_T480,14,25,3,broad,Payload capacity,3,0,0.0
C025_V03_CHG_conservative_SPEED25_T480,14,25,3,conservative,Payload capacity,3,0,0.0
C025_V05_CHG_balanced_SPEED25_T480,14,25,5,balanced,Payload capacity,5,0,0.0
C025_V05_CHG_broad_SPEED25_T480,14,25,5,broad,Payload capacity,5,0,0.0
C025_V05_CHG_conservative_SPEED25_T480,14,25,5,conservative,Payload capacity,5,0,0.0
C025_V01_CHG_balanced_SPEED25_T480,15,25,1,balanced,Payload capacity,1,0,0.0
C025_V01_CHG_broad_SPEED25_T480,15,25,1,broad,Payload capacity,1,0,0.0
C025_V01_CHG_conservative_SPEED25_T480,15,25,1,conservative,Payload capacity,1,0,0.0
C025_V03_CHG_balanced_SPEED25_T480,15,25,3,balanced,Payload capacity,3,0,0.0
C025_V03_CHG_broad_SPEED25_T480,15,25,3,broad,Payload capacity,3,0,0.0
C025_V03_CHG_conservative_SPEED25_T480,15,25,3,conservative,Payload capacity,3,0,0.0
C025_V05_CHG_balanced_SPEED25_T480,15,25,5,balanced,Payload capacity,5,0,0.0
C025_V05_CHG_broad_SPEED25_T480,15,25,5,broad,Payload capacity,5,0,0.0
C025_V05_CHG_conservative_SPEED25_T480,15,25,5,conservative,Payload capacity,5,0,0.0
C025_V01_CHG_balanced_SPEED25_T480,16,25,1,balanced,Payload capacity,1,0,0.0
C025_V01_CHG_broad_SPEED25_T480,16,25,1,broad,Payload capacity,1,0,0.0
C025_V01_CHG_conservative_SPEED25_T480,16,25,1,conservative,Payload capacity,1,0,0.0
C025_V03_CHG_balanced_SPEED25_T480,16,25,3,balanced,Payload capacity,3,0,0.0
C025_V03_CHG_broad_SPEED25_T480,16,25,3,broad,Payload capacity,3,0,0.0
C025_V03_CHG_conservative_SPEED25_T480,16,25,3,conservative,Payload capacity,3,0,0.0
C025_V05_CHG_balanced_SPEED25_T480,16,25,5,balanced,Payload capacity,5,0,0.0
C025_V05_CHG_broad_SPEED25_T480,16,25,5,broad,Payload capacity,5,0,0.0
C025_V05_CHG_conservative_SPEED25_T480,16,25,5,conservative,Payload capacity,5,0,0.0
C025_V01_CHG_balanced_SPEED25_T480,17,25,1,balanced,Payload capacity,1,0,0.0
C025_V01_CHG_broad_SPEED25_T480,17,25,1,broad,Payload capacity,1,0,0.0
C025_V01_CHG_conservative_SPEED25_T480,17,25,1,conservative,Payload capacity,1,0,0.0
C025_V03_CHG_balanced_SPEED25_T480,17,25,3,balanced,Payload capacity,3,0,0.0
C025_V03_CHG_broad_SPEED25_T480,17,25,3,broad,Payload capacity,3,0,0.0
C025_V03_CHG_conservative_SPEED25_T480,17,25,3,conservative,Payload capacity,3,0,0.0
C025_V05_CHG_balanced_SPEED25_T480,17,25,5,balanced,Payload capacity,5,0,0.0
C025_V05_CHG_broad_SPEED25_T480,17,25,5,broad,Payload capacity,5,0,0.0
C025_V05_CHG_conservative_SPEED25_T480,17,25,5,conservative,Payload capacity,5,0,0.0
C025_V01_CHG_balanced_SPEED25_T480,18,25,1,balanced,Payload capacity,1,0,0.0
C025_V01_CHG_broad_SPEED25_T480,18,25,1,broad,Payload capacity,1,0,0.0
C025_V01_CHG_conservative_SPEED25_T480,18,25,1,conservative,Payload capacity,1,0,0.0
C025_V03_CHG_balanced_SPEED25_T480,18,25,3,balanced,Payload capacity,3,0,0.0
C025_V03_CHG_broad_SPEED25_T480,18,25,3,broad,Payload capacity,3,0,0.0
C025_V03_CHG_conservative_SPEED25_T480,18,25,3,conservative,Payload capacity,3,0,0.0
C025_V05_CHG_balanced_SPEED25_T480,18,25,5,balanced,Payload capacity,5,0,0.0
C025_V05_CHG_broad_SPEED25_T480,18,25,5,broad,Payload capacity,5,0,0.0
C025_V05_CHG_conservative_SPEED25_T480,18,25,5,conservative,Payload capacity,5,0,0.0
C025_V01_CHG_balanced_SPEED25_T480,19,25,1,balanced,Payload capacity,1,0,0.0
C025_V01_CHG_broad_SPEED25_T480,19,25,1,broad,Payload capacity,1,0,0.0
C025_V01_CHG_conservative_SPEED25_T480,19,25,1,conservative,Payload capacity,1,0,0.0
C025_V03_CHG_balanced_SPEED25_T480,19,25,3,balanced,Payload capacity,3,0,0.0
C025_V03_CHG_broad_SPEED25_T480,19,25,3,broad,Payload capacity,3,0,0.0
C025_V03_CHG_conservative_SPEED25_T480,19,25,3,conservative,Payload capacity,3,0,0.0
C025_V05_CHG_balanced_SPEED25_T480,19,25,5,balanced,Payload capacity,5,0,0.0
C025_V05_CHG_broad_SPEED25_T480,19,25,5,broad,Payload capacity,5,0,0.0
C025_V05_CHG_conservative_SPEED25_T480,19,25,5,conservative,Payload capacity,5,0,0.0
C025_V01_CHG_balanced_SPEED25_T480,20,25,1,balanced,Payload capacity,1,0,0.0
C025_V01_CHG_broad_SPEED25_T480,20,25,1,broad,Payload capacity,1,0,0.0
C025_V01_CHG_conservative_SPEED25_T480,20,25,1,conservative,Payload capacity,1,0,0.0
C025_V03_CHG_balanced_SPEED25_T480,20,25,3,balanced,Payload capacity,3,0,0.0
C025_V03_CHG_broad_SPEED25_T480,20,25,3,broad,Payload capacity,3,0,0.0
C025_V03_CHG_conservative_SPEED25_T480,20,25,3,conservative,Payload capacity,3,0,0.0
C025_V05_CHG_balanced_SPEED25_T480,20,25,5,balanced,Payload capacity,5,0,0.0
C025_V05_CHG_broad_SPEED25_T480,20,25,5,broad,Payload capacity,5,0,0.0
C025_V05_CHG_conservative_SPEED25_T480,20,25,5,conservative,Payload capacity,5,0,0.0
C025_V01_CHG_balanced_SPEED25_T480,21,25,1,balanced,Payload capacity,1,0,0.0
C025_V01_CHG_broad_SPEED25_T480,21,25,1,broad,Payload capacity,1,0,0.0
C025_V01_CHG_conservative_SPEED25_T480,21,25,1,conservative,Payload capacity,1,0,0.0
C025_V03_CHG_balanced_SPEED25_T480,21,25,3,balanced,Payload capacity,3,0,0.0
C025_V03_CHG_broad_SPEED25_T480,21,25,3,broad,Payload capacity,3,0,0.0
