stop_id,building_id,chocho_code,parcel_equivalent_per_day_expected,q_kg_customer_day,q_kg_status,Q_kg,evaluation_date
2026-01-01-13111-bldg-100161,13111-bldg-100161,015003,2.444366442584419,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100166,13111-bldg-100166,015004,1.3857687337483613,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100174,13111-bldg-100174,006004,1.3498738566344535,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100180,13111-bldg-100180,015004,0.4619229112494537,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100185,13111-bldg-100185,006004,2.7085840133078447,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100186,13111-bldg-100186,006004,0.8967872454239377,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100189,13111-bldg-100189,015005,0.6955318068098467,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100191,13111-bldg-100191,015004,0.23360889556039297,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100192,13111-bldg-100192,014002,2.5196847055599925,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100196,13111-bldg-100196,015005,0.3971944080165447,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100197,13111-bldg-100197,006004,1.02270283172215,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100205,13111-bldg-100205,015004,2.7444788904217523,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100207,13111-bldg-100207,015005,1.8529865248691473,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100210,13111-bldg-100210,014002,2.5414570806840873,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100213,13111-bldg-100213,006004,0.298337398793302,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100218,13111-bldg-100218,014002,1.7470682646509983,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100220,13111-bldg-100220,006004,3.073403375037782,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100222,13111-bldg-100222,015005,0.32717102491230343,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100224,13111-bldg-100224,014002,2.302553305252362,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100228,13111-bldg-100228,015004,0.8267638623196965,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100237,13111-bldg-100237,015003,0.4619229112494537,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100238,13111-bldg-100238,015005,2.2843094388760257,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100247,13111-bldg-100247,015005,2.471433697579846,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100254,13111-bldg-100254,015004,2.0813005405582077,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100259,13111-bldg-100259,015004,1.4864007920156355,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100260,13111-bldg-100260,014002,3.2263991277512694,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100262,13111-bldg-100262,015004,2.4084715654705113,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100279,13111-bldg-100279,006004,3.197565501632268,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-10028,13111-bldg-10028,042006,1.1574547180593004,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100280,13111-bldg-100280,015005,2.7374176394268463,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100281,13111-bldg-100281,014002,0.9526794486179089,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-10030,13111-bldg-10030,042006,0.3648409510702427,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100304,13111-bldg-100304,014002,0.3971944080165447,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100314,13111-bldg-100314,015004,2.5520597518465995,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100317,13111-bldg-100317,015004,1.4846257429716039,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100319,13111-bldg-100319,015005,3.0051463630571154,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-10032,13111-bldg-10032,042003,0.16358551245615172,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-10033,13111-bldg-10033,042003,0.531946294353695,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100338,13111-bldg-100338,015005,0.298337398793302,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100342,13111-bldg-100342,006004,2.027161797067963,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100343,13111-bldg-100343,015004,0.16358551245615172,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100349,13111-bldg-100349,015003,1.9877384112062975,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-10035,13111-bldg-10035,042003,2.3366818112426957,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100351,13111-bldg-100351,015003,0.16358551245615172,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100354,13111-bldg-100354,006004,2.3113896052913003,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100355,13111-bldg-100355,015005,3.1381318782706913,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100365,13111-bldg-100365,014002,0.298337398793302,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100369,13111-bldg-100369,015003,2.3096145562472685,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100373,13111-bldg-100373,015005,0.32717102491230343,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100375,13111-bldg-100375,014002,2.9386514887006316,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100384,13111-bldg-100384,015004,2.1478040928351487,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100385,13111-bldg-100385,006004,2.981607616809446,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100389,13111-bldg-100389,015003,0.16358551245615172,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100390,13111-bldg-100390,015003,2.613246834911903,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100394,13111-bldg-100394,014002,0.23360889556039297,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100395,13111-bldg-100395,014002,0.16358551245615172,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100396,13111-bldg-100396,015003,0.23360889556039297,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100401,13111-bldg-100401,006004,3.0069214121011467,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100406,13111-bldg-100406,014002,2.4426000714608453,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100413,13111-bldg-100413,015005,0.23360889556039297,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100425,13111-bldg-100425,015005,1.4846257429716039,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100433,13111-bldg-100433,014002,1.779443310937605,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100441,13111-bldg-100441,015003,1.6535061352990879,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100442,13111-bldg-100442,015003,0.765555189914088,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100443,13111-bldg-100443,014002,2.705042593140239,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100445,13111-bldg-100445,015005,0.32717102491230343,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100446,13111-bldg-100446,014002,0.8591173192659984,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-10046,13111-bldg-10046,042003,1.8871150308594808,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100464,13111-bldg-100464,006004,1.0603727578800894,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100467,13111-bldg-100467,015003,2.2448860530143593,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100475,13111-bldg-100475,014002,0.46721779112078593,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100487,13111-bldg-100487,015003,3.0357550382201484,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100500,13111-bldg-100500,006004,1.6894010124129955,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100504,13111-bldg-100504,015003,1.1574547180593004,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100510,13111-bldg-100510,015003,0.23360889556039297,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100517,13111-bldg-100517,015003,2.08659542042954,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100518,13111-bldg-100518,015003,0.298337398793302,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100521,13111-bldg-100521,015005,0.7943888160330894,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100522,13111-bldg-100522,006004,0.531946294353695,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100524,13111-bldg-100524,015004,1.5599440059471774,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100528,13111-bldg-100528,006004,1.0927262148263914,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100529,13111-bldg-100529,014002,0.3971944080165447,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100530,13111-bldg-100530,015004,0.3648409510702427,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100536,13111-bldg-100536,015005,2.3490379421089345,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100543,13111-bldg-100543,015005,1.4846257429716039,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100548,13111-bldg-100548,015003,0.16358551245615172,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-10055,13111-bldg-10055,042006,1.9053588972358178,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100550,13111-bldg-100550,015003,1.4846257429716039,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100555,13111-bldg-100555,014002,0.6255084237056054,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100556,13111-bldg-100556,015004,1.4610869967239348,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100557,13111-bldg-100557,015005,0.16358551245615172,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
