instance_id,initialization_id,p2_run_id,p3_run_id,delta_P_feasible_p3_minus_p2,delta_P_optimal_p3_minus_p2,delta_relative_gap_p3_minus_p2,delta_runtime_seconds_p3_minus_p2,delta_nfev_p3_minus_p2,p2_P_feasible,p3_P_feasible,p2_P_optimal,p3_P_optimal,p2_runtime_seconds,p3_runtime_seconds,p2_nfev,p3_nfev
routing_v18_n4_rank01,fixed_0.1,routing_v18_n4_rank01_p2_init_fixed01_rep1_optimizer_cobyla,routing_v18_n4_rank01_p3_init_fixed01_rep1_optimizer_cobyla,0.08844553971525593,0.0038821465502840062,0.0,128.12727730814368,0,0.02836846736249481,0.11681400707775073,0.0012164684983990818,0.005098615048683088,375.2656244887039,503.3929017968476,300,300
routing_v18_n4_rank01,random_seed_11,routing_v18_n4_rank01_p2_init_random_seed_11_rep1_optimizer_cobyla,routing_v18_n4_rank01_p3_init_random_seed_11_rep1_optimizer_cobyla,-0.0033103629344394345,-0.00047553134401308577,0.0,118.53976615425199,0,0.01555407530638478,0.012243712371945345,0.0009059281250643264,0.0004303967810512406,401.92081070598215,520.4605768602341,300,300
routing_v18_n4_rank01,random_seed_23,routing_v18_n4_rank01_p2_init_random_seed_23_rep1_optimizer_cobyla,routing_v18_n4_rank01_p3_init_random_seed_23_rep1_optimizer_cobyla,-0.00013688519246543617,7.103163266938364e-05,0.0,281.4935302757658,53,0.002105135037486603,0.001968249845021167,9.908807310408498e-05,0.00017011970577346863,332.55089594516903,614.0444262209348,247,300
routing_v18_n4_rank01,random_seed_37,routing_v18_n4_rank01_p2_init_random_seed_37_rep1_optimizer_cobyla,routing_v18_n4_rank01_p3_init_random_seed_37_rep1_optimizer_cobyla,0.010280489769675723,0.0003388524855582252,0.0,157.64029278978705,0,0.000879068272898542,0.011159558042574265,6.347013630445419e-05,0.0004023226218626794,439.15184141136706,596.7921342011541,300,300
routing_v18_n4_rank01,random_seed_53,routing_v18_n4_rank01_p2_init_random_seed_53_rep1_optimizer_cobyla,routing_v18_n4_rank01_p3_init_random_seed_53_rep1_optimizer_cobyla,0.00018136935116805147,-0.00018165856836312305,0.0,69.94463042123243,0,0.002931695200729904,0.0031130645518979553,0.00022883655431407007,4.717798595094703e-05,405.92998078791425,475.8746112091467,300,300
routing_v18_n4_rank01,random_seed_71,routing_v18_n4_rank01_p2_init_random_seed_71_rep1_optimizer_cobyla,routing_v18_n4_rank01_p3_init_random_seed_71_rep1_optimizer_cobyla,0.021247238778633704,0.0010402635899570364,0.0,137.90197627758607,13,0.0005338787580392479,0.021781117536672952,2.754926712117958e-05,0.001067812857078216,367.1878857994452,505.0898620770313,287,300
routing_v18_n4_rank03,fixed_0.1,routing_v18_n4_rank03_p2_init_fixed01_rep1_optimizer_cobyla,routing_v18_n4_rank03_p3_init_fixed01_rep1_optimizer_cobyla,0.007798770877741536,0.0006636205162221536,0.0,170.511510937009,0,0.0056864798537693585,0.013485250731510894,0.00022699952129673286,0.0008906200375188865,397.6671133739874,568.1786243109964,300,300
routing_v18_n4_rank03,random_seed_11,routing_v18_n4_rank03_p2_init_random_seed_11_rep1_optimizer_cobyla,routing_v18_n4_rank03_p3_init_random_seed_11_rep1_optimizer_cobyla,0.013074952467828563,0.00026306350554068056,0.0,218.6554221860133,0,0.0012851193040303822,0.014360071771858945,0.00011269729284074008,0.00037576079838142065,364.63433266291395,583.2897548489273,300,300
routing_v18_n4_rank03,random_seed_23,routing_v18_n4_rank03_p2_init_random_seed_23_rep1_optimizer_cobyla,routing_v18_n4_rank03_p3_init_random_seed_23_rep1_optimizer_cobyla,0.0011608557318216852,4.22813402466228e-05,0.0,144.84316637553275,0,0.0011267732181985716,0.002287628950020257,3.0108222268251954e-05,7.238956251487476e-05,382.9418271626346,527.7849935381673,300,300
routing_v18_n4_rank03,random_seed_37,routing_v18_n4_rank03_p2_init_random_seed_37_rep1_optimizer_cobyla,routing_v18_n4_rank03_p3_init_random_seed_37_rep1_optimizer_cobyla,0.0004014241181094021,-2.61607905639358e-05,0.0,129.6558946953155,0,0.0010834935948591795,0.0014849177129685816,6.147500907967313e-05,3.531421851573733e-05,396.89924360392615,526.5551382992417,300,300
