scenario,city,industry_group,predicted_classical,predicted_quantum,delta_flow,pct_change
low,仙台,化学・高分子素材群,130.99999999999832,131.13523708627397,0.13523708627566045,0.0010323441700432227
low,仙台,無機素材群,344.0000000000101,344.1599994939565,0.15999949394639312,0.00046511480798368726
low,仙台,金属素材群,27.000000000000547,27.05094813349545,0.050948133494905457,0.0018869679072186824
low,名古屋,化学・高分子素材群,183.99999999999537,184.19420848597022,0.19420848597488316,0.0010554809020374351
low,名古屋,無機素材群,541.0000000000141,541.2330638990579,0.23306389904379898,0.0004308020315042383
low,名古屋,金属素材群,95.99999999999923,96.15089463482313,0.15089463482390125,0.0015718191127489839
low,大阪,化学・高分子素材群,211.99999999999295,212.24439547296208,0.2443954729691311,0.0011528088347600907
low,大阪,無機素材群,686.0000000000198,686.2685874322085,0.26858743218866366,0.00039152686907967336
low,大阪,金属素材群,88.00000000000001,88.17443092211802,0.17443092211799965,0.001982169569522723
low,広島,化学・高分子素材群,87.99999999999983,88.09988509343806,0.0998850934382296,0.001135057879979884
low,広島,無機素材群,371.0000000000113,371.1830016126868,0.18300161267547033,0.0004932658023597432
low,広島,金属素材群,32.999999999999766,33.05225513868005,0.05225513868028479,0.0015834890509177323
low,札幌,化学・高分子素材群,58.99999999999967,59.08002386709358,0.08002386709390596,0.0013563367304051934
low,札幌,無機素材群,193.00000000000594,193.08127384498385,0.08127384497790358,0.00042110800506684495
low,札幌,金属素材群,20.00000000000069,20.037042039233004,0.03704203923231364,0.0018521019616156182
low,東京,化学・高分子素材群,354.99999999999494,355.27848647229797,0.27848647230305357,0.0007844689360649508
low,東京,無機素材群,872.0000000000242,872.307342265414,0.307342265389849,0.0003524567263644959
low,東京,金属素材群,294.9999999999991,295.3697678601274,0.3697678601283212,0.001253450373316347
low,福岡,化学・高分子素材群,115.99999999999865,116.11846711543981,0.11846711544115851,0.0010212682365617232
low,福岡,無機素材群,341.00000000001006,341.1473787829851,0.14737878297501172,0.0004321958445014879
low,福岡,金属素材群,76.9999999999995,77.08567253301638,0.08567253301687197,0.0011126302989204224
base,仙台,化学・高分子素材群,130.99999999999832,131.1625692647722,0.16256926477387013,0.0012409867539990246
base,仙台,無機素材群,344.0000000000101,344.1950065059656,0.19500650595545643,0.000566879377777473
base,仙台,金属素材群,27.000000000000547,27.060394698573436,0.06039469857288923,0.0022368406878847413
base,名古屋,化学・高分子素材群,183.99999999999537,184.23345778988102,0.23345778988566668,0.0012687923363351769
base,名古屋,無機素材群,541.0000000000141,541.2840543255853,0.2840543255712422,0.0005250542062314877
base,名古屋,金属素材群,95.99999999999923,96.17886473325868,0.17886473325945013,0.0018631743047859536
base,大阪,化学・高分子素材群,211.99999999999295,212.29377156417203,0.2937715641790908,0.0013857149253731157
base,大阪,無機素材群,686.0000000000198,686.3273410854797,0.32734108545992235,0.00047717359396488764
base,大阪,金属素材群,88.00000000000001,88.20674977442167,0.20674977442164744,0.0023494292547914476
base,広島,化学・高分子素材群,87.99999999999983,88.12007397471994,0.12007397472010695,0.0013644769854557633
base,広島,無機素材群,371.0000000000113,371.2230418529665,0.2230418529551912,0.0006011909783158609
base,広島,金属素材群,32.999999999999766,33.06194256969625,0.06194256969648358,0.001877047566560122
base,札幌,化学・高分子素材群,58.99999999999967,59.096200489858596,0.09620048985891927,0.001630516777269827
base,札幌,無機素材群,193.00000000000594,193.09905595052464,0.09905595051869298,0.0005132432669362173
base,札幌,金属素材群,20.00000000000069,20.043909947969464,0.04390994796877215,0.002195497398438532
base,東京,化学・高分子素材群,354.99999999999494,355.3347366823566,0.3347366823617062,0.0009429202320048195
base,東京,無機素材群,872.0000000000242,872.3745729273822,0.37457292735806824,0.0004295561093555709
base,東京,金属素材群,294.9999999999991,295.43823850056435,0.43823850056524916,0.001485554239204239
base,福岡,化学・高分子素材群,115.99999999999865,116.14240841316015,0.14240841316149289,0.001227658734150815
base,福岡,無機素材群,341.00000000001006,341.1796231629741,0.17962316296406566,0.0005267541435896198
base,福岡,金属素材群,76.9999999999995,77.10154790792454,0.10154790792503943,0.0013188039990264947
high,仙台,化学・高分子素材群,130.99999999999832,131.1877125728891,0.18771257289079313,0.0014329204037465309
high,仙台,無機素材群,344.0000000000101,344.22821721588235,0.22821721587226396,0.0006634221391635385
high,仙台,金属素材群,27.000000000000547,27.068802682534027,0.06880268253347988,0.0025482475012399437
high,名古屋,化学・高分子素材群,183.99999999999537,184.26956345741098,0.2695634574156376,0.001465018790302415
high,名古屋,無機素材群,541.0000000000141,541.3324274106384,0.3324274106242733,0.0006144684115051102
