mesh_code,total_population,total_households,htksyori,htksaki
533933603,908,402,0,
533933604,106,55,0,
533933611,188,34,0,
533933612,769,223,1,
533933613,2,1,2,533933612
533933614,7,5,2,533933612
533933621,555,189,1,
533933622,1102,671,0,
533933623,6,2,2,533933621
533933624,508,370,0,
533933631,2286,1393,0,
533933632,2580,1733,0,
533933633,2446,1241,0,
533933634,1779,1078,0,
533933641,1747,864,0,
533933642,1926,1020,0,
533933643,1680,721,0,
533933644,2555,1119,0,
533933651,2220,1065,0,
533933652,2533,1372,0,
533933653,1732,726,0,
533933654,1405,575,0,
533933661,3501,1689,0,
533933662,560,224,0,
533933663,3149,1190,0,
533933664,293,129,0,
533933671,513,257,0,
533933673,657,318,0,
533933682,741,296,0,
533933684,2679,1124,0,
533933691,1717,647,0,
533933692,1359,623,0,
533933693,1426,509,0,
533933694,2472,1064,0,
533933701,2317,1176,0,
533933702,1425,624,0,
533933703,1786,1143,0,
533933704,1727,858,0,
533933711,528,237,0,
533933712,168,97,0,
533933713,1751,758,0,
533933714,60,25,0,
533933721,16,15,2,533933723
533933722,973,531,0,
533933723,283,169,1,
533933724,1887,937,0,
533933731,2021,1063,0,
533933732,154,67,0,
533933733,1212,660,0,
533933734,1742,778,0,
533933741,1206,613,0,
533933742,1980,859,0,
533933743,608,194,0,
533933744,2491,927,0,
533933751,1639,709,0,
533933752,1341,564,0,
533933753,1989,923,0,
533933754,2929,1652,0,
533933761,2319,1007,0,
533933762,1993,867,0,
533933763,4482,2064,0,
533933764,1118,340,0,
533933782,346,147,0,
533933784,75,31,0,
533933791,3082,1136,0,
533933792,2694,1349,0,
533933793,1705,902,0,
533933794,2642,1247,0,
533933801,1710,778,0,
533933802,1548,766,0,
533933803,2750,1302,0,
533933804,2911,1446,0,
533933811,2394,1296,0,
533933812,670,298,0,
533933813,1857,765,0,
533933814,2743,1277,0,
533933821,651,341,0,
533933822,1567,764,0,
533933823,1707,727,0,
533933824,2386,1181,0,
533933831,1787,957,0,
533933832,2201,1167,0,
533933833,2454,1165,0,
533933834,1921,794,0,
533933841,539,210,0,
533933842,872,378,0,
533933843,1997,994,0,
533933844,2102,1096,0,
533933851,3694,2224,0,
533933852,2614,1391,0,
533933853,1483,719,0,
533933854,308,141,0,
533933861,1772,972,0,
533933863,974,495,0,
533933864,4862,2312,0,
533933873,2872,1491,0,
533933874,1131,398,0,
533933882,115,63,0,
533933883,1146,450,0,
533933884,2217,971,0,
533933891,330,134,0,
533933892,425,175,0,
533933893,3803,1586,0,
533933894,1178,475,0,
533933901,2926,1376,0,
533933902,2566,1403,0,
533933903,3784,1717,0,
533933904,3110,1630,0,
533933911,1511,655,0,
533933912,2564,1172,0,
533933913,2782,1330,0,
533933914,1185,466,0,
533933921,2631,1260,0,
533933922,2076,991,0,
533933923,1563,778,0,
533933924,2371,1178,0,
533933931,2772,1699,0,
533933932,2470,1184,0,
533933933,2827,1526,0,
533933934,2733,1139,0,
533933941,2726,1288,0,
533933942,1598,820,1,
533933943,607,255,0,
533933944,4,1,2,533933942
533933951,493,182,0,
533933952,2838,1174,0,
533933953,2756,1043,0,
533933954,1628,699,0,
533933961,3999,1846,0,
533933962,3180,1725,0,
533933963,2012,868,0,
533933964,2409,1167,0,
533933971,3117,1286,0,
533933972,1872,858,0,
533933973,2868,1313,0,
533933974,2842,1269,0,
533933981,1161,541,0,
533933982,1012,497,0,
533933983,2866,1262,0,
533933991,2001,882,0,
533933992,2440,1091,0,
533933993,473,242,0,
533933994,3112,1431,0,
533934203,5,5,2,533934511
533934392,58,28,0,
533934393,25,12,0,
533934394,2120,1122,0,
533934454,352,192,0,
533934463,1876,973,0,
533934464,2388,1081,0,
533934471,2,2,2,533934473
533934472,245,85,0,
533934473,2583,1061,1,
533934474,3167,1217,0,
533934481,1408,562,0,
533934482,2485,1141,0,
533934483,2762,1137,0,
533934484,2523,1041,0,
533934491,3603,1583,0,
533934492,4067,1844,0,
533934493,2840,1081,0,
533934494,2157,932,0,
533934503,1888,650,0,
533934504,316,105,0,
533934511,465,104,1,
533934513,667,254,0,
533934514,12,6,0,
533934552,2487,1566,0,
533934553,189,101,0,
533934554,2262,1227,0,
533934561,3602,1961,0,
533934562,3139,1482,0,
533934563,3715,2394,0,
533934564,4940,2670,0,
533934571,3159,1313,0,
533934572,2680,1226,0,
533934573,3775,2017,0,
533934574,2614,1250,0,
533934581,1683,771,0,
533934582,2165,828,0,
533934583,2293,1100,0,
533934584,1617,907,0,
533934591,2868,1213,0,
533934592,2490,1119,0,
533934593,777,370,0,
533934594,28,10,0,
533934601,2863,1302,0,
533934602,2232,980,0,
533934603,2178,985,0,
533934604,2348,998,0,
533934611,3613,1516,0,
533934612,1709,754,0,
533934613,3096,1495,0,
533934614,2646,1482,0,
533934624,12,3,2,533934722
533934633,494,232,0,
533934634,1035,401,0,
533934641,97,33,0,
533934642,920,452,0,
533934643,6030,2373,0,
533934644,3236,1600,0,
533934651,2257,1108,0,
533934652,3885,1994,0,
533934653,3910,2159,0,
533934654,3745,1771,0,
533934661,6991,3330,0,
533934662,4963,2707,0,
533934663,3558,1839,0,
533934664,3988,1990,0,
533934671,3846,2210,0,
533934672,2439,1075,0,
533934673,1579,662,0,
533934674,2354,1176,0,
533934681,2530,1051,0,
533934682,3402,1710,0,
533934683,3179,1595,0,
533934684,4966,2583,0,
533934691,4567,1922,0,
533934692,3754,1758,0,
533934693,5794,2614,0,
533934694,3513,1671,0,
533934701,2467,1378,0,
533934702,2405,1000,0,
533934703,2533,1210,0,
533934704,2045,855,0,
533934711,2910,1322,0,
533934712,1218,672,0,
533934713,1514,663,0,
533934714,1786,705,0,
533934721,2571,1179,0,
533934722,2745,1486,1,
533934723,2974,1196,0,
533934724,3554,1742,0,
533934731,4015,2242,0,
533934732,2588,1156,0,
533934733,4923,2740,0,
533934734,4400,2393,0,
533934741,3377,1569,0,
533934742,3612,1847,0,
533934743,4655,2578,0,
533934744,6849,3653,0,
533934751,3847,2118,0,
533934752,3215,1564,0,
533934753,5202,2122,0,
533934754,4256,1756,0,
533934761,3545,1557,0,
533934762,3207,1417,0,
533934763,3269,1509,0,
533934764,3909,1606,0,
533934771,2893,1244,0,
533934772,2382,1023,0,
533934773,3374,1475,0,
533934774,3966,1670,0,
533934781,2600,1342,0,
533934782,4751,2710,0,
533934783,3432,1579,0,
533934784,4748,2666,0,
533934791,5922,2872,0,
533934792,5201,2542,0,
533934793,5517,2830,0,
533934794,5304,3031,0,
533934801,145,61,0,
533934802,67,29,0,
533934803,2878,1303,0,
533934804,2343,1031,0,
533934811,919,387,0,
533934812,3837,1519,0,
533934813,1618,654,0,
533934814,3010,1458,0,
533934821,4417,1953,0,
533934822,3994,1880,0,
533934823,2825,1611,0,
533934824,3089,1700,0,
533934831,3593,2061,0,
533934832,6305,3883,0,
533934833,3063,1697,0,
533934834,3267,1686,0,
533934841,5260,3082,0,
533934842,4354,2416,0,
533934843,3524,1731,0,
533934844,2900,1381,0,
533934851,3939,2288,0,
533934852,3255,1706,0,
533934853,3565,2109,0,
533934854,3997,2454,0,
533934861,3323,1715,0,
533934862,2784,1312,0,
533934863,3992,2109,0,
533934864,2293,1120,0,
533934871,2963,1351,0,
533934872,2880,1155,0,
533934873,5113,2536,0,
533934874,2532,1194,0,
533934881,3279,1332,0,
533934882,3549,1676,0,
533934883,4441,1831,0,
533934884,6244,2424,0,
533934891,4517,1985,0,
533934892,5196,2518,0,
533934893,5463,2158,0,
533934894,5964,3201,0,
533934901,2522,1195,0,
533934902,4309,1984,0,
533934903,3016,1759,0,
533934904,2832,1568,0,
533934911,3032,1561,0,
533934912,3339,1989,0,
533934913,3324,1614,0,
533934914,2785,1411,0,
533934921,2766,1628,0,
533934922,1906,978,0,
533934923,12,6,0,
533934924,1679,754,0,
533934931,4279,1929,0,
533934932,5366,2472,0,
533934933,3282,1546,0,
533934934,2160,901,0,
533934941,2817,1199,0,
533934942,1529,660,0,
533934943,673,272,0,
533934944,2920,1108,0,
533934951,6647,3060,0,
533934952,4557,2356,0,
533934953,3284,1512,0,
533934954,3383,1595,0,
533934961,3796,2172,0,
533934962,3116,2006,0,
533934963,4846,2443,0,
533934964,3360,1900,0,
533934971,3652,1941,0,
533934972,3272,1375,0,
533934973,4061,2093,0,
533934974,3246,1758,0,
533934981,3728,1887,0,
533934982,4417,1921,0,
533934983,4555,2791,0,
533934984,4911,2124,0,
533934991,1862,605,0,
533934992,4671,2137,0,
533934993,4157,2097,0,
533934994,2847,1409,0,
533935031,13,9,2,533935032
533935032,4310,2280,1,
533935033,589,274,0,
533935034,3712,1838,0,
533935041,4968,2635,0,
533935042,4971,2656,0,
533935043,5186,2899,0,
533935044,4707,2266,0,
533935051,3792,1624,0,
533935052,6059,2695,0,
533935053,4688,2084,0,
533935054,4616,2180,0,
533935061,4069,2155,0,
533935062,5485,2776,0,
533935063,5410,2837,0,
533935064,4101,2333,0,
533935071,4550,2095,0,
533935072,5908,3111,0,
533935073,4719,2221,0,
533935074,5135,2474,0,
533935081,7243,4716,0,
533935082,9066,4876,0,
533935083,4742,2709,0,
533935084,11655,7454,0,
533935091,342,148,1,
533935092,174,174,0,
533935093,7,6,2,533935091
533935113,41,17,0,
533935114,2339,1078,0,
533935121,1917,898,0,
533935122,2401,1040,0,
533935123,3516,1631,0,
533935124,1987,806,0,
533935131,1350,554,0,
533935132,3531,1754,0,
533935133,1696,743,0,
533935134,4660,2488,0,
533935141,4695,2216,0,
533935142,6995,3946,0,
533935143,4957,2279,0,
533935144,5904,3086,0,
533935151,4870,2326,0,
533935152,6199,2792,0,
533935153,5141,2653,0,
533935154,4440,2100,0,
533935161,6628,3217,0,
533935162,6057,3488,0,
533935163,7005,3695,0,
533935164,5456,3131,0,
533935171,5622,2901,0,
533935172,5873,2813,0,
533935173,6649,3519,0,
533935174,6372,3226,0,
533935181,5649,2908,0,
533935182,8124,5135,0,
533935183,6665,3455,0,
533935184,7424,4050,0,
533935191,1863,907,0,
533935192,168,137,0,
533935193,5773,2996,0,
533935194,4391,2081,0,
533935202,5,3,2,533935204
533935203,32,15,0,
533935204,1883,887,1,
533935211,2422,1080,0,
533935212,2649,1116,0,
533935213,2182,1063,0,
533935214,3125,1656,0,
533935221,3319,1619,0,
533935222,3325,1693,0,
533935223,5051,2870,0,
533935224,4076,2096,0,
533935231,3247,1660,0,
533935232,5619,3027,0,
533935233,4011,2320,0,
533935234,4261,2532,0,
533935241,4616,2312,0,
533935242,3939,2013,0,
533935243,3923,2183,0,
533935244,3329,2021,0,
533935251,2318,1111,0,
533935252,5588,3219,0,
533935253,4994,2516,0,
533935254,5645,3057,0,
533935261,6887,3873,0,
533935262,7544,4353,0,
533935263,5903,3728,0,
533935264,6861,3790,0,
533935271,6994,4079,0,
533935272,6646,3769,0,
533935273,7162,4156,0,
533935274,5943,3254,0,
533935281,7456,3829,0,
533935282,6833,4266,0,
533935283,8305,4609,0,
533935284,5115,3264,0,
533935291,5150,3145,0,
533935292,1870,711,0,
533935293,8465,4684,0,
533935294,7217,3278,0,
533935301,2703,1318,0,
533935302,3728,1694,0,
533935303,2950,1526,0,
533935304,3309,1574,0,
533935311,3529,1814,0,
533935312,3436,1775,0,
533935313,5373,2611,0,
533935314,4058,1925,0,
533935321,3765,1851,0,
533935322,3767,1919,0,
533935323,4323,1939,0,
533935324,5628,2497,0,
533935331,3601,2026,0,
533935332,4290,2416,0,
533935333,4670,2217,0,
533935334,5110,2729,0,
533935341,4998,2499,0,
533935342,6185,3545,0,
533935343,5707,3273,0,
533935344,5791,2989,0,
533935351,4585,2447,0,
533935352,4231,2100,0,
533935353,5690,2837,0,
533935354,7143,4276,0,
533935361,5534,3007,0,
533935362,7744,4289,0,
533935363,7725,4522,0,
533935364,8416,4792,0,
533935371,8263,4835,0,
533935372,5188,2720,0,
533935373,7779,4745,0,
533935374,7217,4204,0,
533935381,4979,2592,0,
533935382,2086,1347,0,
533935383,7467,4316,0,
533935384,987,557,0,
533935391,6593,3938,0,
533935392,6397,3220,0,
533935393,5149,3012,0,
533935394,10362,5050,0,
533935401,4346,2009,0,
533935402,4843,2291,0,
533935403,4533,2381,0,
533935404,5090,2734,0,
533935411,4563,2160,0,
533935412,2746,1183,0,
533935413,4535,1739,0,
533935414,2984,1265,0,
533935421,5089,2201,0,
533935422,3545,1548,0,
533935423,3383,1588,0,
533935424,2804,1257,0,
533935431,5267,2197,0,
533935432,4767,2568,0,
533935433,3260,1422,0,
533935434,3445,1589,0,
533935441,5324,3000,0,
533935442,4119,1975,0,
533935443,4596,2381,0,
533935444,4099,2287,0,
533935451,5382,2536,0,
533935452,6949,3934,0,
533935453,6731,3320,0,
533935454,7080,3672,0,
533935461,8845,4952,0,
533935462,7171,3955,0,
533935463,4836,2801,0,
533935464,8303,4754,0,
533935471,8248,5334,0,
533935472,6999,4110,0,
533935473,5352,3219,0,
533935474,4938,3251,0,
533935481,3304,1854,0,
533935482,5068,2577,0,
533935483,7898,4067,0,
533935484,4971,2461,0,
533935491,6077,3451,0,
533935492,4220,2344,0,
533935493,5318,3503,0,
533935494,3577,2051,0,
533935501,3088,1504,0,
533935502,4497,2621,0,
533935503,3617,1626,0,
533935504,6014,3030,0,
533935511,3590,1708,0,
533935512,3947,1925,0,
533935513,5651,3106,0,
533935514,4395,2370,0,
533935521,4274,2163,0,
533935522,253,161,0,
533935523,5632,3306,0,
533935524,5639,3012,0,
533935531,2007,1109,0,
533935532,4849,2189,0,
533935533,5049,2667,0,
533935534,5104,2560,0,
533935541,5803,3226,0,
533935542,4684,2695,0,
533935543,5078,2425,0,
533935544,6159,3913,0,
533935551,5763,3305,0,
533935552,6078,3000,0,
533935553,6982,3955,0,
533935554,6419,3294,0,
533935561,4512,1992,0,
533935562,6064,3549,0,
533935563,5782,2911,0,
533935564,8265,4938,0,
533935571,8882,5051,0,
533935572,3880,2799,0,
533935573,6241,3564,0,
533935574,4149,2264,0,
533935581,5352,3409,0,
533935582,4163,2200,0,
533935583,6099,3446,0,
533935584,1407,724,0,
533935591,978,617,0,
533935592,693,466,0,
533935593,351,244,0,
533935594,8055,4012,0,
533935601,3422,1496,0,
533935602,1522,653,0,
533935603,4287,2022,0,
533935604,3575,1527,0,
533935611,7187,3573,0,
533935612,5485,2744,0,
533935613,5658,2662,0,
533935614,5058,2623,0,
533935621,5770,2787,0,
533935622,5034,2912,0,
533935623,5099,2415,0,
533935624,5862,3256,0,
533935631,7307,4601,0,
533935632,6042,3127,0,
533935633,7499,4640,0,
533935634,6829,3950,0,
533935641,3413,1686,0,
533935642,5338,3000,0,
533935643,6030,3395,0,
533935644,6778,3694,0,
533935651,5800,3578,0,
533935652,4534,2486,0,
533935653,5363,3148,0,
533935654,6157,3660,0,
533935661,6295,3091,0,
533935662,6236,3524,0,
533935663,3938,2163,0,
533935664,4321,2403,0,
533935671,4620,2788,0,
533935672,4200,2403,0,
533935673,4055,2371,0,
533935674,2062,1159,0,
533935681,4388,2114,0,
533935682,5606,2914,0,
533935683,3533,1725,0,
533935684,5139,2738,0,
533935691,1636,869,0,
533935692,1713,851,0,
533935693,3018,1770,0,
533935694,7960,3982,0,
533935701,4986,2309,0,
533935702,4526,2211,0,
533935703,5395,2929,0,
533935704,5632,3320,0,
533935711,5991,2861,0,
533935712,5781,3411,0,
533935713,4282,2393,0,
533935714,2923,1528,0,
533935721,6378,3759,0,
533935722,6374,3742,0,
533935723,3006,1555,0,
533935724,6460,3683,0,
533935731,7716,4954,0,
533935732,5657,3766,0,
533935733,6430,3788,0,
533935734,6881,4379,0,
533935741,2903,1615,0,
533935742,3499,1342,0,
533935743,6871,4455,0,
533935744,6160,3387,0,
533935751,6183,3368,0,
533935752,5153,3025,0,
533935753,7611,3526,0,
533935754,4227,2523,0,
533935761,5534,3334,0,
533935762,4187,2690,0,
533935763,4624,2843,0,
533935764,3838,2685,0,
533935771,4969,3227,0,
533935772,7997,4528,0,
533935773,8383,5662,0,
533935774,5416,3432,0,
533935781,4702,2633,0,
533935782,7439,4157,0,
533935783,4662,2619,0,
533935784,6876,4124,0,
533935791,2914,1652,0,
533935792,2286,1216,0,
533935793,5939,3049,0,
533935794,3542,2435,0,
533935801,5557,2638,0,
533935802,5265,3313,0,
533935803,4598,2268,0,
533935804,5704,2964,0,
533935811,4814,2901,0,
533935812,4785,2804,0,
533935813,4277,2169,0,
533935814,5480,3294,0,
533935821,4823,2566,0,
533935822,4984,2769,0,
533935823,4120,2484,0,
533935824,4767,2860,0,
533935831,5737,3245,0,
533935832,5930,3070,0,
533935833,4323,2521,0,
533935834,4097,1936,0,
533935841,7101,4013,0,
533935842,4149,2527,0,
533935843,4725,2493,0,
533935844,4513,2243,0,
533935851,6535,4066,0,
533935852,2821,1436,0,
533935853,6929,4205,0,
533935854,3411,2467,0,
533935861,4933,2838,0,
533935862,5292,3507,0,
533935863,1951,1504,0,
533935864,2850,1835,0,
533935871,3402,1531,0,
533935872,3373,1731,0,
533935873,5649,2735,0,
533935874,5664,2661,0,
533935881,2362,891,0,
533935882,7212,4359,0,
533935883,4055,1933,0,
533935884,5372,3333,0,
533935891,3360,1658,0,
533935892,4670,2874,0,
533935893,6925,4496,0,
533935894,1615,1176,0,
533935901,3344,1774,0,
533935902,3345,1631,0,
533935903,5338,2638,0,
533935904,4452,2325,0,
533935911,4630,2591,0,
533935912,4996,2435,0,
533935913,5506,3339,0,
533935914,4871,2632,0,
533935921,4259,2459,0,
533935922,4970,3014,0,
533935923,5367,3033,0,
533935924,4960,3069,0,
533935931,4113,2758,0,
533935932,5163,3182,0,
533935933,4726,2977,0,
533935934,5227,3179,0,
533935941,1949,1123,0,
533935942,670,416,0,
533935943,4254,2292,0,
533935944,5743,3160,0,
533935951,3138,1699,0,
533935952,1585,1241,0,
533935953,3888,2329,0,
533935954,1498,1067,0,
533935961,1680,991,0,
533935962,985,672,0,
533935963,2357,1339,0,
533935964,1262,636,0,
533935971,3587,1974,0,
533935972,4612,2773,0,
533935973,2627,1184,0,
533935974,1519,802,0,
533935981,3085,1821,0,
533935982,2066,1181,0,
533935983,2104,1355,0,
533935984,4114,2635,0,
533935991,2578,1542,0,
533935992,997,658,0,
533935993,3616,2043,0,
533935994,3172,2101,0,
533936103,4850,2213,0,
533936201,4324,1864,1,
533936202,43,42,2,533936201
533936203,1609,691,0,
533936301,465,227,0,
533936303,1161,508,0,
533936401,90,48,0,
533936403,1432,766,0,
533936404,40,40,0,
533936412,219,172,0,
533936414,66,66,0,
533936421,388,293,0,
533936423,158,158,0,
533936433,1,1,2,533936523
533936501,4876,2163,0,
533936502,55,39,0,
533936503,3891,1837,0,
533936523,3994,1797,1,
533936554,1,1,2,533936752
533936601,2994,1423,0,
533936603,7777,3941,0,
533936604,337,269,0,
533936621,1595,725,0,
533936622,6212,2545,0,
533936631,914,391,0,
533936632,185,86,0,
533936633,1675,891,0,
533936634,908,409,0,
533936643,709,287,0,
533936652,1,1,2,533936663
533936654,3,2,2,533936663
533936662,5,4,2,533936663
533936663,5,1,1,
533936701,4585,2991,0,
533936702,494,314,0,
533936703,6545,3934,0,
533936704,1195,744,0,
533936732,3920,1948,0,
533936733,3538,1468,0,
533936734,2343,850,0,
533936741,8088,3415,1,
533936742,3,2,2,533936741
533936743,12088,5361,0,
533936744,2572,1557,0,
533936751,22,21,2,533936752
533936752,21,16,1,
533936753,1225,588,0,
533936761,1,1,2,533936663
533936762,9,9,2,533936663
533936764,4,4,2,533936663
533936784,69,60,0,
533936791,326,124,0,
533936792,6379,2387,0,
533936793,955,435,0,
533936794,5187,2505,0,
533936801,5424,3308,0,
533936802,192,122,0,
533936803,1669,1207,0,
533936804,2004,1129,0,
533936811,227,87,0,
533936812,1880,894,0,
533936814,15005,6872,0,
533936821,1045,580,0,
533936822,5,5,0,
533936823,7717,4012,0,
533936824,8709,3598,0,
533936832,7660,3098,0,
533936833,2659,1056,0,
533936834,3827,1720,0,
533936841,4526,1904,0,
533936842,5957,2728,0,
533936843,8041,3361,0,
533936844,2071,886,0,
533936851,644,281,0,
533936853,3740,1785,0,
533936854,163,157,0,
533936881,947,471,0,
533936882,3530,1463,0,
533936883,3538,1466,0,
533936884,4852,2363,0,
533936891,3003,1165,0,
533936892,5431,2607,0,
533936893,5682,3080,0,
533936894,5947,3322,0,
533936901,2170,1580,0,
533936902,4193,2612,0,
533936903,1873,1382,0,
533936904,480,356,0,
533936912,1977,898,0,
533936913,1163,948,0,
533936914,3376,1913,0,
533936921,10323,5844,0,
533936922,5323,2726,0,
533936923,4830,2566,0,
533936924,11205,5746,0,
533936931,4251,2098,0,
533936932,7320,2957,0,
533936933,275,118,0,
533936934,3654,1575,0,
533936941,7486,3275,0,
533936942,5224,2292,0,
533936943,3209,1571,0,
533936944,5187,2353,0,
533936951,2582,1273,1,
533936952,29,29,2,533936951
533936953,5746,2574,0,
533936954,1419,527,0,
533936961,8,8,0,
533936964,2483,846,0,
533936973,1005,348,0,
533936981,6841,2680,0,
533936982,5103,2789,0,
533936983,5561,2471,0,
533936984,9104,5231,0,
533936991,6867,3720,0,
533936992,7265,4326,0,
533936993,7860,4539,0,
533936994,7296,4620,0,
533937701,2028,876,0,
533937702,112,47,0,
533937703,5835,2480,0,
533937704,1109,481,0,
533937801,5332,2404,0,
533937803,5118,2342,0,
533937804,3027,1145,0,
533937901,6120,3230,0,
533937902,4773,2344,0,
533937903,6664,4071,0,
533937904,2801,1481,0,
533940482,20,9,0,
533940491,23,11,0,
533940492,3,1,2,533940494
533940494,59,38,1,
533940551,1,1,2,533940552
533940552,10,5,1,
533940554,1,1,2,533940552
533940561,14,8,1,
533940563,1,1,2,533940561
533940564,31,19,0,
533940571,38,16,0,
533940573,45,22,0,
533940634,17,7,0,
533940643,4,2,1,
533940644,13,6,2,533940643
533940653,13,7,1,
533940654,7,2,2,533940653
533940662,16,8,0,
533940732,13,7,1,
533940733,2,1,2,533940732
533940741,9,5,1,
533940742,1,1,2,533940741
533940751,6,5,2,533940653
533940783,9,5,2,533940784
533940784,67,27,1,
533940793,35,19,1,
533940794,1,1,2,533940793
533940853,2,2,1,
533940854,6,5,2,533940853
533940863,14,6,1,
533940864,11,6,2,533940863
533940872,16,10,1,
533940873,1,1,2,533940872
533940874,2,2,2,533940872
533940881,8,6,2,533940884
533940883,3,2,2,533940884
533940884,22,11,1,
533940892,180,43,0,
533940894,67,35,0,
533940951,12,5,1,
533940954,1,1,2,533940951
533940961,9,4,1,
533940962,1,1,2,533940961
533940963,3,2,2,533940961
533940964,2,2,2,533940961
533940982,1,1,2,533940884
533940992,4,1,2,533940994
533940993,35,14,0,
533940994,83,35,1,
533941051,2,1,2,533941061
533941061,36,16,1,
533941062,21,7,0,
533941064,40,17,0,
533941071,14,7,0,
533941073,45,19,0,
533941074,85,33,0,
533941082,82,37,0,
533941083,88,37,0,
533941084,12,5,0,
533941091,124,52,0,
533941092,84,36,0,
533941142,4,2,2,533941061
533941151,10,6,1,
533941152,3,3,2,533941151
533941161,29,17,1,
533941162,7,2,2,533941161
533941172,15,6,0,
533941181,16,8,0,
533941182,29,11,0,
533941183,23,11,1,
533941184,33,16,0,
533941191,59,24,0,
533941192,34,17,0,
533941274,1,1,2,533941183
533941281,13,6,2,533941283
533941283,1,1,1,
533941292,41,17,0,
533941294,452,157,0,
533941303,2,1,2,533941401
533941384,7,3,2,533941482
533941391,93,13,0,
533941392,42,17,0,
533941393,26,11,0,
533941401,48,22,1,
533941402,15,10,0,
533941403,4,2,2,533941401
533941411,70,31,0,
533941414,22,11,0,
533941423,16,9,0,
533941481,22,11,0,
533941482,78,14,1,
533941492,3,2,2,533941494
533941493,40,13,0,
533941494,87,35,1,
533941512,2,1,2,533941514
533941514,134,6,1,
533941523,20,8,0,
533941572,9,3,2,533941581
533941581,17,9,1,
533941582,66,24,0,
533941583,41,17,0,
533941584,11,5,0,
533941591,64,24,0,
533941624,18,6,0,
533941633,6,4,2,533941634
533941634,15,6,1,
533941642,17,6,1,
533941643,77,32,0,
533941644,2,1,2,533941642
533941651,3,2,2,533941653
533941653,38,15,1,
533941654,25,14,0,
533941663,43,20,1,
533941664,9,4,2,533941663
533941673,103,42,0,
533941674,289,107,0,
533941681,104,3,2,533941683
533941682,7,4,2,533941683
533941683,432,139,1,
533941684,524,216,0,
533941692,18,8,0,
533941693,17,6,0,
533941694,45,15,0,
533941704,8,4,0,
533941712,110,49,0,
533941713,22,7,0,
533941714,27,10,0,
533941721,187,67,0,
533941722,62,30,0,
533941724,31,10,1,
533941731,9,5,0,
533941732,38,19,0,
533941741,72,32,0,
533941742,9,6,0,
533941743,3,2,2,533941744
533941744,84,35,1,
533941751,38,16,0,
533941753,42,18,0,
533941754,47,17,0,
533941761,240,97,0,
533941762,435,180,0,
533941763,195,83,0,
533941771,692,275,0,
533941772,1254,526,0,
533941773,246,83,0,
533941774,699,285,0,
533941781,704,280,0,
533941782,706,287,0,
533941783,948,371,0,
533941784,925,415,0,
533941791,563,249,0,
533941792,694,265,0,
533941793,328,136,0,
533941794,1120,420,0,
533941801,7,6,2,533941804
533941804,54,21,1,
533941812,41,20,0,
533941813,76,29,0,
533941814,27,15,0,
533941822,3,3,2,533941724
533941842,105,47,1,
533941844,10,3,2,533941842
533941852,3,1,2,533941853
533941853,24,11,1,
533941871,30,11,0,
533941872,369,101,0,
533941873,9,3,2,533941874
533941874,121,55,1,
533941881,649,271,0,
533941882,19,10,0,
533941883,397,35,0,
533941891,2,1,2,533941892
533941892,190,81,1,
533941894,834,358,0,
533941901,32,13,1,
533941902,7,4,2,533941901
533941944,2,1,2,533941953
533941951,41,16,0,
533941953,11,5,1,
533941961,15,7,0,
533941962,18,9,1,
533941963,5,3,2,533941962
533941964,6,3,2,533941962
533941971,6,3,2,533941972
533941972,37,12,1,
533941981,417,157,0,
533941982,594,233,0,
533941983,295,116,0,
533941984,105,37,0,
533941991,987,341,0,
533941992,531,140,0,
533941993,263,97,0,
533941994,64,23,0,
533942001,762,296,0,
533942002,338,134,0,
533942003,301,111,0,
533942004,1467,593,0,
533942011,707,300,0,
533942012,345,130,0,
533942013,1900,427,0,
533942014,854,364,0,
533942021,128,46,0,
533942022,928,382,0,
533942023,337,147,0,
533942024,1322,548,0,
533942031,1507,650,0,
533942032,2173,920,0,
533942033,2067,878,0,
533942034,2137,919,0,
533942041,1512,630,0,
533942042,2285,1036,0,
533942043,1901,782,0,
533942044,1596,676,0,
533942051,1140,497,0,
533942052,1491,741,0,
533942053,2323,1076,0,
533942054,2619,1400,0,
533942061,2302,1131,0,
533942062,2378,1173,0,
533942063,1981,1070,0,
533942064,1600,711,0,
533942071,2402,1162,0,
533942072,2073,903,0,
533942073,439,184,0,
533942074,343,158,0,
533942081,2219,969,0,
533942082,1211,544,0,
533942083,534,250,0,
533942084,2095,1015,0,
533942091,1001,466,0,
533942092,1223,574,0,
533942093,278,122,0,
533942094,1220,581,0,
533942101,265,75,1,
533942102,973,403,0,
533942103,90,4,2,533942101
533942104,664,291,0,
533942111,1230,529,0,
533942112,622,263,0,
533942113,1375,518,0,
533942114,814,337,0,
533942121,793,314,0,
533942122,2133,898,0,
533942123,865,376,0,
533942124,1414,504,0,
533942131,2190,888,0,
533942132,2449,1232,0,
533942133,2778,1279,0,
533942134,603,296,0,
533942141,1049,438,0,
533942142,1713,694,0,
533942143,1198,508,0,
533942144,2275,854,0,
533942151,1563,773,0,
533942152,2079,1117,0,
533942153,1986,981,0,
533942154,1944,734,0,
533942161,1019,596,0,
533942162,936,406,0,
533942163,1752,723,0,
533942164,417,152,0,
533942171,88,26,0,
533942172,138,66,0,
533942173,416,200,0,
533942174,538,254,0,
533942181,937,454,0,
533942182,1318,543,0,
533942183,901,354,0,
533942184,918,396,0,
533942191,1421,532,0,
