ocm_id,connection_id,station_title,latitude,longitude,connection_type,level,current_type,quantity,power_kw,voltage,amps,is_fast_charger_proxy,operator,usage_type,status_type,source,downloaded_at
5701,450,ウェスティンホテル東京,35.6415162,139.7153641,Tesla (Roadster),Level 2 : Medium (Over 2kW),AC (Single-Phase),,16.8,230,90,no,Tesla (Tesla-only charging),Public,Operational,Open Charge Map,2026-07-05
55006,69500,グランドハイアット東京,35.6600777,139.7283208,NACS / Tesla Supercharger,Level 3:  High (Over 40kW),DC,,,400,,no,Tesla (Tesla-only charging),Public,Operational,Open Charge Map,2026-07-05
55086,69639,グリーンワイズ内併設 AWKitchen,35.6275961,139.41932350000002,Tesla (Model S/X),Level 2 : Medium (Over 2kW),AC (Single-Phase),,,,100,no,Tesla (Tesla-only charging),Public,Operational,Open Charge Map,2026-07-05
17712,17953,コシダテックコシダ大門ビル,35.65842354,139.7541232,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17104,17345,コスモ石油セルフＮＥＷ江東ＳＳ,35.67589787,139.8227861,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17724,17965,セルリアンタワー,35.65635337,139.6994334,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17115,17356,デルタ電子,35.65598212,139.7530151,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17717,17958,パレスサイドビルディング,35.6909479,139.7574298,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
55020,69521,パレスホテル,35.68465,139.761435,NACS / Tesla Supercharger,Level 3:  High (Over 40kW),DC,,,,,no,Tesla (Tesla-only charging),Public,Operational,Open Charge Map,2026-07-05
17727,17968,ファミリーマート豊玉中三丁目店,35.73260557,139.6565057,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17730,17971,ホームズ昭島店,35.70130354,139.3486716,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17702,17943,ローソン大井店,35.601632,139.7314832,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17725,17966,上板橋駐車場,35.75551479,139.6886658,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17714,17955,中央区役所附属駐車場,35.67078366,139.7726822,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
62646,79568,中央通り,35.691586,139.697769,CHAdeMO,Level 3:  High (Over 40kW),DC,,50,,,yes,Stadtwerke Clausthal-Zellerfeld,,Operational,Open Charge Map,2026-07-05
62646,95267,中央通り,35.691586,139.697769,CHAdeMO,Level 3:  High (Over 40kW),DC,,50,,,yes,Stadtwerke Clausthal-Zellerfeld,,Operational,Open Charge Map,2026-07-05
55136,69711,丸の内トラストタワー,35.6825268,139.76942510000003,Unknown,Level 2 : Medium (Over 2kW),AC (Single-Phase),,,,75,no,Tesla (Tesla-only charging),Public,Operational,Open Charge Map,2026-07-05
17709,17950,丸の内パークビル,35.67895206,139.7630771,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17710,17951,丸ノ内鍛冶橋駐車場,35.676894,139.766113,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17711,17952,六本木駐車場,35.66561139,139.7388491,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
62645,79567,副10,35.688072,139.69342,CHAdeMO,Level 3:  High (Over 40kW),DC,,50,,,yes,Stadtwerke Clausthal-Zellerfeld,,Operational,Open Charge Map,2026-07-05
17719,17960,区営月島出張所地下駐車場,35.66201532,139.7823179,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17718,17959,区営浜町公園地下駐車場,35.68883755,139.7882467,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17713,17954,千代田区本庁舎地下駐車場,35.69397529,139.7536522,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17699,17940,国立市役所庁舎駐車場,35.68390149,139.4422479,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
55149,69731,城山トラストタワー,35.6646893,139.74331089999998,Unknown,Level 2 : Medium (Over 2kW),AC (Single-Phase),,,,75,no,Tesla (Tesla-only charging),Public,Operational,Open Charge Map,2026-07-05
62641,79563,多摩境通り,35.599213,139.380753,CHAdeMO,Level 3:  High (Over 40kW),DC,,50,,,yes,Stadtwerke Clausthal-Zellerfeld,,Operational,Open Charge Map,2026-07-05
17731,17972,大谷田駐車場,35.77621805,139.842766,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17101,17342,太洋日産自動車販売芝浦中央支店,35.64121133,139.744522,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17093,17334,平和島ＰＡ（上り）,35.58601443,139.7427691,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
55152,69734,御殿山トラストタワー,35.6221997,139.73700459999998,Unknown,Level 2 : Medium (Over 2kW),AC (Single-Phase),,,,75,no,Tesla (Tesla-only charging),Public,Operational,Open Charge Map,2026-07-05
17726,17967,愛工大興,35.73889755,139.7130146,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17716,17957,日本パーキングセンター,35.6851654,139.7694568,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
