ocm_id,title,latitude,longitude,town,postcode,operator,usage_type,status_type,connection_count,connection_types,max_power_kw,is_fast_charger_proxy,source,downloaded_at
17709,丸の内パークビル,35.67895206,139.7630771,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17710,丸ノ内鍛冶橋駐車場,35.676894,139.766113,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17033,八潮ＰＡ（上り）,35.80939506,139.8427006,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17711,六本木駐車場,35.66561139,139.7388491,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17160,出光セルフつきみ野ＳＳ,35.51340611,139.4584072,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17719,区営月島出張所地下駐車場,35.66201532,139.7823179,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17718,区営浜町公園地下駐車場,35.68883755,139.7882467,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17713,千代田区本庁舎地下駐車場,35.69397529,139.7536522,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17030,埼玉日産自動車川口栄町店,35.80357423,139.7279881,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17036,埼玉日産自動車戸田店,35.82038254,139.6708338,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17054,埼玉日産自動車新座店,35.7978776,139.5676989,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17052,埼玉日産自動車草加店,35.82666231,139.8232486,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17731,大谷田駐車場,35.77621805,139.842766,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17101,太洋日産自動車販売芝浦中央支店,35.64121133,139.744522,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17760,岩田電機通信,35.62583728,139.5461114,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17785,工藤建設本社,35.56815763,139.5624683,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17057,市川ＰＡ（上り）,35.67689413,139.9325298,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17093,平和島ＰＡ（上り）,35.58601443,139.7427691,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17726,愛工大興,35.73889755,139.7130146,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17686,戸田市文化会館北側駐車場,35.81770237,139.6764001,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17716,日本パーキングセンター,35.6851654,139.7694568,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17720,日本橋兜町パーキング,35.68126594,139.7768536,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17046,日産プリンス埼玉販売与野店,35.88839122,139.629623,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17047,日産プリンス埼玉販売川口戸塚店,35.86675677,139.7513333,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17105,日産プリンス東京販売亀戸店,35.69667935,139.843689,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17128,日産プリンス東京販売成城店,35.63320407,139.5981318,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17119,日産プリンス東京販売江戸川店,35.70605659,139.8700947,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17118,日産プリンス東京販売江東店,35.67322894,139.835588,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17116,日産プリンス東京販売池上店,35.57887279,139.7009646,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17120,日産プリンス東京販売王子店,35.75062469,139.7478806,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17112,日産プリンス東京販売荻窪店,35.71198187,139.6047387,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17100,日産プリンス東京販売足立店,35.78501086,139.8032272,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17096,日産プリンス東京販売鮫洲店,35.60626789,139.7473956,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17109,日産プリンス東京販売２４６上馬店,35.63341906,139.662532,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17177,日産プリンス神奈川販売しらとり台店,35.53734892,139.5113934,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17143,日産プリンス神奈川販売中原店,35.57948564,139.6450553,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17179,日産プリンス神奈川販売港北ニュータウン北店,35.55872569,139.584728,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17181,日産プリンス神奈川販売麻生柿生店,35.57836663,139.5042837,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17121,日産プリンス西東京販売三鷹店,35.69051968,139.5702981,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17083,日産プリンス西東京販売久留米店,35.73983276,139.5076844,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17123,日産プリンス西東京販売府中店,35.67065665,139.4982911,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17122,日産プリンス西東京販売調布多摩川店,35.64593484,139.5293563,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17738,日産レンタカー　西新宿山手通り店,35.68840521,139.6830833,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17737,日産レンタカー　都立大学駅前店,35.61913473,139.6770259,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17706,日産レンタカー新小岩店,35.71931606,139.8573368,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17715,日産レンタカー東京駅八重洲口店,35.67803558,139.7685405,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17728,日産レンタカー練馬駅前店,35.7358274,139.6540779,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17695,日産レンタカー調布駅南口店,35.65177889,139.5422994,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17102,日産自動車販売三田高輪店,35.6479522,139.7406554,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17117,日産自動車販売中央晴海店,35.65451886,139.7799407,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17110,日産自動車販売丸山店,35.72347359,139.6780487,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17783,日野交通菅沢営業所,35.51455444,139.6878576,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17081,東京日産自動車販売新車のひろば三鷹店,35.68163985,139.5572524,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17099,東京日産自動車販売荒川店,35.73361608,139.7873031,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17721,東京海洋大学（越中島キャンパス）,35.66865643,139.7908586,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17733,東京都東銀座駐車場,35.66739221,139.7643969,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17708,東電池,35.73617983,139.795094,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17722,江東区役所,35.67275645,139.817309,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17038,浦和東三菱さいたま東店,35.86863008,139.6663708,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17103,港三菱港中央本店,35.6495829,139.7584316,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17782,相鉄鶴見尻手ビル,35.52496435,139.6830769,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17158,神奈川日産自動車ニュータウン都筑店,35.56403899,139.5832001,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17802,神奈川日産自動車川崎六郷橋店,35.53254728,139.7060524,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17801,神奈川日産自動車川崎小倉店,35.53815429,139.6646667,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17807,神奈川日産自動車港北日吉店,35.54337834,139.6422461,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17144,神奈川日産自動車百合ケ丘店,35.60291952,139.5017967,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17701,羽田空港Ｐ４立体駐車場,35.54952745,139.7882393,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17734,舎人駐車場,35.80611617,139.7592771,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17705,葛飾区地域産業振興会館（テクノプラザかつしか）,35.75247076,139.8525385,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17704,葛飾区役所総合庁舎,35.74345496,139.8472421,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17784,都筑ＰＡ（上り）,35.54374428,139.6028077,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17723,錦糸町パークタワー,35.69414299,139.8140388,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17108,関東三菱世田谷店・クリーンカー世田谷,35.63292956,139.6246462,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17094,関東三菱久が原店,35.57866722,139.6983509,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17037,関東三菱大宮店・クリーンカー大宮,35.89517924,139.6217011,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17032,関東三菱川口境橋店,35.83258215,139.723015,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17145,関東三菱川崎店・クリーンカー川崎,35.54668427,139.6843647,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17146,関東三菱新百合ヶ丘店・クリーンカー新百合ヶ丘,35.60513878,139.5053769,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17114,関東三菱東久留米店・クリーンカー東久留米,35.73909118,139.5085815,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17106,関東三菱江東店,35.67595607,139.8152868,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17095,関東三菱目黒店,35.62645361,139.6897883,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17097,関東三菱葛飾店・クリーンカー葛飾,35.76264487,139.8642426,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17082,関東三菱調布店・クリーンカー調布,35.65618674,139.5416882,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17111,関東三菱高井戸店・クリーンカー高井戸,35.68621552,139.6235744,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17732,高井戸北駐車場,35.69069546,139.6164415,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17079,ＥＮＥＯＳ　ＤＤセルフ府中栄町店,35.68835997,139.4783142,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17113,ＥＮＥＯＳ　ＤＤセルフ環七豊玉店,35.73158629,139.6592666,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17759,ＥＮＥＯＳ　Ｄｒ．Ｄｒｉｖｅ　初山ＳＳ,35.59875994,139.5641834,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17098,ＥＮＥＯＳ　Ｄｒ．Ｄｒｉｖｅセルフ保木間ＳＳ,35.797104,139.8023378,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17080,ＥＮＥＯＳ　Ｄｒ．Ｄｒｉｖｅセルフ西東京店,35.74046688,139.5567219,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17141,ＥＮＥＯＳ　Ｄｒ．Ｄｒｉｖｅ小杉店,35.57705555,139.6570267,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
