file_name,file_size_bytes
2-4-16jikannhiritu_4houkou_kanpachi_ryuunyuu.csv,260
2-4-17jikannhiritu_4houkou_kanpachi_ryuusyutu.csv,258
2-5-01ryunyukouturyou.csv,3338
2-5-01screenlinebetu_kouseiritu_sougoukei.csv,422
2-5-02reiwa5_reiwa6_hikaku.csv,652
2-5-02screenlinebetu_kouseiritu_zensya.csv,385
2-5-03shashukouseiritu_zennenhikaku_sougoukei.csv,112
2-5-03zenkaichousahikaku.csv,747
2-5-04kouturyounojuni_kako3nenkan.csv,3652
2-5-04shashukouseiritu_zennenhikaku_zensya.csv,97
2-5-05koutuuryou_zenkaihikaku_zensyakei.csv,261
2-5-05ryuunyuukoutuuryou_zenkaihikaku_chitenbetu.csv,96530
2-5-05ryuunyuukoutuuryou_zenkaihikaku_goukei.csv,2206
2-5-06koutuuryou_jyuni_zensya.csv,3823
2-5-06koutuuryou_zenkaihikaku_yonrinsyakei.csv,266
2-5-07koutuuryou_jyuni_yonrinsya.csv,3823
2-5-08koutuuryou_jyuni_oogatasya.csv,5437
2-5-09koutuuryou_jyuni_futuusya.csv,5773
2-5-10koutuuryou_jyuni_jyouyousya.csv,5778
2-5-11koutuuryou_jyuni_kamotusya.csv,5772
2-5-12koutuuryou_jyuni_nirinsya.csv,5294
2-5-13koutuuryou_jyuni_jitensya.csv,5551
2-6-01yorinsya_keinenhenkahikaku_ryuunyuu.csv,2032
2-6-01yorinsya_keinenhenkahikaku_ryuusyutu.csv,2036
2-6-01yorinsya_keinenhenkahikaku_ryuusyutunyuu.csv,2145
2-6-02oogatasya_keinenhenkahikaku_ryuunyuu.csv,1903
2-6-02oogatasya_keinenhenkahikaku_ryuusyutu.csv,1910
2-6-02oogatasya_keinenhenkahikaku_ryuusyutunyuu.csv,2002
2-6-03futuusya_keinenhenkahikaku_ryuunyuu.csv,2026
2-6-03futuusya_keinenhenkahikaku_ryuusyutu.csv,2027
2-6-03futuusya_keinenhenkahikaku_ryuusyutunyuu.csv,2142
2-6-04nirinsya_keinenhenkahikaku_ryuunyuu.csv,1874
2-6-04nirinsya_keinenhenkahikaku_ryuusyutu.csv,1886
2-6-04nirinsya_keinenhenkahikaku_ryuusyutunyuu.csv,1965
2-6-05syadoujitensya_keinenhenkahikaku.csv,1956
2-6-06hodoujitensya_keinenhenkahikaku.csv,1937
2-6-07jitensya_keinenhenkahikaku.csv,2005
csvîÅû╝_Æ▓ì╕îïë╩.txt,12022
