group,population,baseline_mean_intake_g_per_day,std_intake_g_per_day,price_sensitivity_multiplier,baseline_total_intake_g_per_day,raw_growth_pct,raw_new_mean_intake_g_per_day,new_mean_intake_g_per_day,intake_change_g_per_day,baseline_recommended_share,new_recommended_share,baseline_population_meeting_recommendation,new_population_meeting_recommendation
低所得層,28000000,230,70,1.35,6440000000,0.016080632480769234,233.6985454705769,233.5910425981681,3.5910425981680874,0.04323813274683286,0.04815770847576717,1210667.71691132,1348415.8373214807
中低所得層,32000000,260,65,1.15,8320000000,0.013698316557692308,263.561562305,263.45804102045815,3.458041020458154,0.08308505234143804,0.09152628876753544,2658721.6749260174,2928841.2405611337
中所得層,36000000,295,60,1.0,10620000000,0.011911579615384617,298.51391598653845,298.4117796021243,3.411779602124284,0.17965866916478535,0.1949486370413076,6467712.089932272,7018150.9334870735
中高所得層,21000000,335,55,0.8,7035000000,0.009529263692307693,338.1923033369231,338.09951502837055,3.099515028370547,0.3925314342737797,0.4143487180999652,8243160.119749373,8701323.08009927
高所得層,8000000,370,50,0.65,2960000000,0.007742526750000001,372.8647348975,372.7814677773251,2.7814677773250764,0.6554217416103242,0.675671735019848,5243373.932882593,5405373.880158784
