Deleted path,SHA-256,Size,Modified date,Git status,Latest retained,Reason,Deletion timestamp,Result
/Users/tstakuma/Desktop/github/research/90_archive/backup/20260711_before_constraint_gap_refactor/scripts/make_monte_carlo_evrp_visualizations.py,d6981f06ff2df652041759184dd8d9f750c63c1df7c77bd845c55b9adea6197f,17315,2026-07-12T04:52:44.327523,??,active files under 01_research_design through 08_documents,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
/Users/tstakuma/Desktop/github/research/90_archive/backup/20260711_before_constraint_gap_refactor/scripts/make_tokyo_evrp_scenario_inputs.py,6a01aa338f41b716d6bff9602242674ec2aef2f0ad16580c674e640fe8ac8446,18809,2026-07-12T04:52:44.338888,??,active files under 01_research_design through 08_documents,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
/Users/tstakuma/Desktop/github/research/90_archive/backup/20260711_before_constraint_gap_refactor/notebooks/900_20260711_tokyo_evrp_scenario_to_charging_pathway.ipynb,723ba0e99aa8b51a804d77942bdc3305233e8c2b77fb68f15f5920c4483e66fa,3980995,2026-07-12T04:52:46.135047,??,active files under 01_research_design through 08_documents,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
/Users/tstakuma/Desktop/github/research/90_archive/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/948_20260706_v02_cross_domain_readiness_examples.csv,dceaf694097f40326f49c822ed28a1a225e217a9d1af69a0c7acadb2d1fda4bc,2878,2026-07-06T12:31:25.887054,??,active files under 01_research_design through 08_documents,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
/Users/tstakuma/Desktop/github/research/90_archive/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/909_20260711_v03_feasibility_customer_results_by_seed.csv,02e2a7a9d10fac0ff651c61973d40dbef8e32269e15a017de90ed0c1a6c4d170,107732,2026-07-11T12:41:51.641290,??,active files under 01_research_design through 08_documents,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
/Users/tstakuma/Desktop/github/research/90_archive/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/933_20260711_v03_scenario_available_chargers.csv,0cd5a995f0f5cbf4c874a932f50c5239bff03a1c523f4ca578a8fa7cf39ae2bf,4152,2026-07-11T12:39:55.765655,??,active files under 01_research_design through 08_documents,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
/Users/tstakuma/Desktop/github/research/90_archive/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/939_20260711_v03_source_data_inventory.csv,a0423fd2306b2342a7a497c2b21bd135fbda68337855eefd8b0c2aaea954e68a,2654,2026-07-12T04:52:46.205165,??,active files under 01_research_design through 08_documents,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
/Users/tstakuma/Desktop/github/research/90_archive/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/943_20260705_v03_tokyo_evrp_quantum_requirement_map.csv,ad5665e5605dafa3883fa0ec09385470209ca637612a0be35e1bcf535ac91363,7861,2026-07-05T00:10:04.654485,??,active files under 01_research_design through 08_documents,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
/Users/tstakuma/Desktop/github/research/90_archive/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/906_20260705_v03_evrp_vs_quantum_vrp_scale_comparison.csv,4193ad47b1b6e82fab810ebaae432782b48488f47ba8cb789ead4bc4af9a36e3,40147,2026-07-12T04:52:46.232267,??,active files under 01_research_design through 08_documents,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
/Users/tstakuma/Desktop/github/research/90_archive/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/945_20260705_v03_tokyo_evrp_quantum_requirement_map_presentation.csv,bf066b835130455867d6e63ab506f81e505bbcf130a87cd98f94a354da544817,3937,2026-07-05T00:10:05.839345,??,active files under 01_research_design through 08_documents,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
/Users/tstakuma/Desktop/github/research/90_archive/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/938_20260705_v03_social_side_variable_sources.csv,ed970541f1bcf2fd0c5281ff24373c269e553946e79e154d2c4c531e168dad54,3750,2026-07-12T04:52:46.239061,??,active files under 01_research_design through 08_documents,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
/Users/tstakuma/Desktop/github/research/90_archive/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/936_20260711_v03_scenario_depots.csv,839d4bac5e0acf317376e09526e76b8811a6e89c6121c90c53eb829a1601e5b6,131138,2026-07-11T12:39:57.279580,??,active files under 01_research_design through 08_documents,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
/Users/tstakuma/Desktop/github/research/90_archive/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/928_20260706_v03_next_analysis_plan.csv,40aa91e839abca26746464ffc09b3bec6510fef0841a8946eb1113ee0e5dd9cc,3439,2026-07-12T04:52:46.302333,??,active files under 01_research_design through 08_documents,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
/Users/tstakuma/Desktop/github/research/90_archive/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/901_20260704_v03_evrp_benchmark_comparison.csv,4b14c014f21aa8bc1880d90b5c359f2b9a68089d8cf6401ef4b205d94175ffbf,4630,2026-07-04T23:55:11.236755,??,active files under 01_research_design through 08_documents,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
/Users/tstakuma/Desktop/github/research/90_archive/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/919_20260704_v03_morphological_use_case_candidates.csv,3336dc0bdd74ea0c52b384212289d4fbbb739d1322be3a49d2a35b817a63a706,7282,2026-07-12T04:52:46.311465,??,active files under 01_research_design through 08_documents,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
/Users/tstakuma/Desktop/github/research/90_archive/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/908_20260706_v03_feasibility_charger_sensitivity_rules.csv,d878049a5348d260600498433342a6f0235c0176471965d38e7f0ba02682fcd7,1233,2026-07-06T21:18:53.136890,??,active files under 01_research_design through 08_documents,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
/Users/tstakuma/Desktop/github/research/90_archive/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/929_20260711_v03_pipeline_csv_generation_usage_map.csv,d01cf38039b18d48314c596d0799cecad86ed17788f97d54606631104bb9fd3e,12431,2026-07-12T04:52:46.320821,??,active files under 01_research_design through 08_documents,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
/Users/tstakuma/Desktop/github/research/90_archive/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/932_20260705_v03_quantum_evrp_gap_score.csv,8451da1be7259137fba65869e34a8c9c4ee952c1a7407b574bb7fa8188d23f0d,3294,2026-07-05T14:52:10.290005,??,active files under 01_research_design through 08_documents,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
