"Statistics name :","2020 Population Census Basic Complete Tabulation on Population and Households"
"Table Number :","1-1-3"
"Title :","[Population, Households, Sex, Age and Marital status] Population in 2015 (readjusted), Number of households in 2015 (readjusted), Population change number for 5 years, Population change rate for 5 years, Number of households change number for 5 years, Number of households change rate for 5 years, Sex ratio, Area(reference) and Population density - Japan, Prefectures, Municipalities (including Municipalities as of 2000)"
"Implementation date :","2020","Oct."
"Cities, Towns and Villages :","-"

"***","Data not available"
"-","Data not available"

"","","","","","/Tabulated variable Code","2020_03","","2020_15","","2020_34","","2020_35","","2020_36","","2020_37","","2020_46","","2020_47","","2020_48",""
"Time Code","Time","All Municipalities (including those as of 2000) Code","All Municipalities (including those as of 2000) Level Code","All Municipalities (including those as of 2000)","/Tabulated variable","Population in 2015 (readjusted)[people]","Annotation","Number of households in 2015 (readjusted)[households]","Annotation","Population change number for 5 years[people]","Annotation","Population change rate for 5 years[%]","Annotation","Number of households change number for 5 years[households]","Annotation","Number of households change rate for 5 years[%]","Annotation","Sex ratio","Annotation","Area (reference)[km2]","Annotation","Population density[per km2]","Annotation"
"2020000000","2020","36488","7","(Municipalities as of 2000) Nishiiyayama-son","","1,074","","513","","-209","","-19.45996","","-72","","-14.03509","","84.43497","","106.06","","8.2",""
"2020000000","2020","36301","6","Katsuura-cho","","5,301","","1,860","","-464","","-8.75307","","-13","","-0.69892","","91.94444","","69.83","","69.3",""
"2020000000","2020","36302","6","Kamikatsu-cho","","1,545","","732","","-165","","-10.67961","","-94","","-12.84153","","89.30041","","109.63","","12.6",""
"2020000000","2020","36321","6","Sanagouchi-son","","2,289","","793","","-231","","-10.09174","","-22","","-2.77427","","94.15094","","42.28","","48.7",""
"2020000000","2020","36341","6","Ishii-cho","","25,590","","9,327","","-757","","-2.95819","","297","","3.18430","","89.84023","","28.85","","860.8",""
"2020000000","2020","36342","6","Kamiyama-cho","","5,300","","2,156","","-653","","-12.32075","","-135","","-6.26160","","88.59578","","173.30","","26.8",""
"2020000000","2020","36368","6","Naka-cho","","8,402","","3,481","","-1,035","","-12.31850","","-294","","-8.44585","","91.54966","","694.98","","10.6",""
"2020000000","2020","36363","7","(Municipalities as of 2000) Wajiki-cho","","2,881","","1,082","","-243","","-8.43457","","-57","","-5.26802","","92.69540","","30.14","","87.5",""
"2020000000","2020","36364","7","(Municipalities as of 2000) Aioi-cho","","2,480","","916","","-282","","-11.37097","","-57","","-6.22271","","92.63804","","101.04","","21.8",""
"2020000000","2020","36365","7","(Municipalities as of 2000) Kaminaka-cho","","1,433","","669","","-246","","-17.16678","","-93","","-13.90135","","81.77642","","175.27","","6.8",""
"2020000000","2020","36366","7","(Municipalities as of 2000) Kisawa-son","","490","","236","","-86","","-17.55102","","-25","","-10.59322","","99.01478","","154.97","","2.6",""
"2020000000","2020","36367","7","(Municipalities as of 2000) Kito-son","","1,118","","578","","-178","","-15.92129","","-62","","-10.72664","","95.83333","","233.44","","4.0",""
"2020000000","2020","36383","6","Mugi-cho","","4,259","","1,871","","-516","","-12.11552","","-153","","-8.17745","","86.40438","","56.62","","66.1",""
"2020000000","2020","36387","6","Minami-cho","","7,092","","2,901","","-870","","-12.26734","","-224","","-7.72148","","88.60261","","140.74","","44.2",""
"2020000000","2020","36381","7","(Municipalities as of 2000) Yuki-cho","","2,505","","1,091","","-426","","-17.00599","","-130","","-11.91567","","83.65724","","23.16","","89.8",""
"2020000000","2020","36382","7","(Municipalities as of 2000) Hiwasa-cho","","4,587","","1,810","","-444","","-9.67953","","-94","","-5.19337","","91.18597","","117.69","","35.2",""
"2020000000","2020","36388","6","Kaiyo-cho","","9,283","","4,198","","-925","","-9.96445","","-180","","-4.28776","","90.25723","","327.67","","25.5",""
"2020000000","2020","36384","7","(Municipalities as of 2000) Kainan-cho","","4,687","","2,064","","-480","","-10.24109","","-85","","-4.11822","","92.27605","","209.22","","20.1",""
"2020000000","2020","36385","7","(Municipalities as of 2000) Kaifu-cho","","1,859","","924","","-138","","-7.42335","","-9","","-0.97403","","89.53744","","26.36","","65.3",""
"2020000000","2020","36386","7","(Municipalities as of 2000) Shishikui-cho","","2,737","","1,210","","-307","","-11.21666","","-86","","-7.10744","","87.35544","","92.00","","26.4",""
"2020000000","2020","36401","6","Matsushige-cho","","15,204","","5,881","","-621","","-4.08445","","-34","","-0.57813","","97.33424","","14.24","","1,024.1",""
"2020000000","2020","36402","6","Kitajima-cho","","22,446","","8,824","","299","","1.33209","","529","","5.99501","","93.26196","","8.74","","2,602.4",""
"2020000000","2020","36403","6","Aizumi-cho","","34,626","","13,133","","620","","1.79056","","840","","6.39610","","91.78365","","16.27","","2,166.3",""
"2020000000","2020","36404","6","Itano-cho","","13,358","","4,930","","-316","","-2.36562","","124","","2.51521","","92.35988","","36.22","","360.1",""
"2020000000","2020","36405","6","Kamiita-cho","","12,039","","4,256","","-655","","-5.44065","","-10","","-0.23496","","91.23131","","34.58","","329.2",""
"2020000000","2020","36468","6","Tsurugi-cho","","8,927","","3,838","","-1,212","","-13.57679","","-431","","-11.22981","","87.85001","","194.84","","39.6",""
"2020000000","2020","36463","7","(Municipalities as of 2000) Handa-cho","","3,797","","1,610","","-488","","-12.85225","","-169","","-10.49689","","87.16063","","51.52","","64.2",""
"2020000000","2020","36464","7","(Municipalities as of 2000) Sadamitsu-cho","","4,428","","1,828","","-534","","-12.05962","","-163","","-8.91685","","86.67306","","45.40","","85.8",""
"2020000000","2020","36465","7","(Municipalities as of 2000) Ichiu-son","","702","","400","","-190","","-27.06553","","-99","","-24.75000","","102.37154","","97.88","","5.2",""
"2020000000","2020","36489","6","Higashimiyoshi-cho","","14,638","","5,325","","-1,016","","-6.94084","","-143","","-2.68545","","91.67018","","122.48","","111.2",""
