industry_group_id,effect,sum_sq,df,F,PR(>F),partial_eta2
chem_polymer,C(destination_city_id),23.56159220725235,6.0,11.05011777765746,4.763589263158554e-09,0.4411203921569267
chem_polymer,C(compute_condition),3.86725085685315e-06,1.0,1.0882179031386633e-05,0.9973757531475765,1.2954973359051474e-07
chem_polymer,C(destination_city_id):C(compute_condition),1.5906682754232073e-08,6.0,7.460052628870907e-09,0.9999999999999999,5.328609017782669e-10
chem_polymer,Residual,29.85147285656001,84.0,,,
inorganic,C(destination_city_id),27.101401188384404,6.0,12.607309326832107,4.3339143350145755e-10,0.4738287953873743
inorganic,C(compute_condition),1.6769230422066783e-06,1.0,4.680530138667469e-06,0.9982789450798469,5.572059378411369e-08
inorganic,C(destination_city_id):C(compute_condition),6.114668274668579e-09,6.0,2.844484454285483e-09,0.9999999999999999,2.0317746097911058e-10
inorganic,Residual,30.095209596377856,84.0,,,
metal,C(destination_city_id),22.14284820031573,6.0,9.944338636127819,2.8307008945958434e-08,0.4153106413690438
metal,C(compute_condition),8.982249002985375e-06,1.0,2.4203532894680035e-05,0.9960863213999966,2.881372133421609e-07
metal,C(destination_city_id):C(compute_condition),3.1996699283772864e-08,6.0,1.4369696709190688e-08,0.9999999999999999,1.0264069067458236e-09
metal,Residual,31.173503452325072,84.0,,,
