replicate,search_multiplier,adoption_multiplier,elasticity_multiplier,classical_total_inflow,quantum_total_inflow,delta_abs,delta_pct
1,1.0152358539877215,0.9376009536255703,1.0600360956645165,41425.15307077489,41456.466794834996,31.313724060106324,0.07559108835785547
2,1.0470282358195606,0.8829378886807698,0.8958256394510146,41425.15307077489,41451.6357469285,26.482676153609646,0.06392897597352021
3,1.0063920201583643,0.9810254444593851,0.9986559073996569,41425.15307077489,41455.07581380954,29.92274303465092,0.07223327089106443
4,0.957347803621321,1.0527638784917697,1.0622233548343158,41425.15307077489,41456.50621274267,31.353141967781994,0.0756862428829536
5,1.0033015348780607,1.067634472418082,1.0374007473801636,41425.15307077489,41457.51368443578,32.360613660886884,0.07811827177946394
6,0.9570353768558381,1.0221250470449499,0.9232893919336801,41425.15307077489,41451.9854056466,26.832334871709463,0.06477304942209001
7,1.0439225150653637,0.9970044453408248,0.9852110109163792,41425.15307077489,41456.057853550315,30.9047827754257,0.07460390725080694
8,0.965953522779803,1.0733524803204417,0.9876376414344958,41425.15307077489,41454.86595627783,29.712885502936842,0.07172667642814105
9,0.9785836088918446,0.9788719869707062,1.0425847348442678,41425.15307077489,41455.474004103045,30.32093332815566,0.07319449918833694
10,1.0182722032182039,1.0247639566957594,1.0344656802406307,41425.15307077489,41457.23449688791,32.081426113021735,0.07744431519229537
11,1.107082380043523,0.9756150990169231,0.9590205816742771,41425.15307077489,41456.753111364946,31.60004059005587,0.07628225425278981
12,0.9593113635876062,1.0369587653545298,1.0903177834176714,41425.15307077489,41457.15447596702,32.00140519213164,0.07725114530646932
13,0.9943026271172563,0.9495906113822483,0.9340415027447009,41425.15307077489,41452.336895771085,27.183824996194744,0.0656215438715487
14,1.032529639391235,1.0445952502722065,1.0434523414644157,41425.15307077489,41458.30312718552,33.150056410631805,0.08002398048836397
15,0.9667245146355653,1.0139296793840031,1.0093348647312583,41425.15307077489,41454.669502544966,29.51643177007645,0.07125243863226677
16,1.0109344298364507,1.0522857266768915,1.0178876439019746,41425.15307077489,41456.91573914823,31.762668373339693,0.07667483646728634
17,1.0339456781535947,1.0040547441693335,1.0231295518951988,41425.15307077489,41457.04821008406,31.89513930917019,0.07699462028463078
18,1.031564411291927,0.9125706508086601,0.974426302691416,41425.15307077489,41454.008428983136,28.85535820824589,0.06965661215287847
19,0.9764813672853602,0.9616673291053995,0.9779886199018653,41425.15307077489,41453.27538081955,28.12231004465866,0.0678870395399908
20,1.0747470655617197,0.9480501330584054,1.0774622683673185,41425.15307077489,41459.08965337866,33.93658260376833,0.08192264865210676
21,0.9158565114192098,0.9799068982008535,1.0130202452084005,41425.15307077489,41452.69677919455,27.543708419660106,0.06649029968000762
22,1.0293111165679638,1.0426735947875714,1.063467778815994,41425.15307077489,41458.799366190775,33.646295415885106,0.08122189761954626
23,0.9825637463875782,0.972258892440126,1.0686380705005722,41425.15307077489,41456.25338746942,31.100316694530193,0.07507592462336901
24,0.9904347837559192,0.9234588205997247,0.9093370228797215,41425.15307077489,41451.138105474056,25.985034699166135,0.06272767334080985
25,0.9540273856999194,1.0298296446432258,1.0113940588856452,41425.15307077489,41454.56529464745,29.4122238725613,0.07100088157142233
26,1.0345242677033883,0.9743648412198079,1.0126831752861372,41425.15307077489,41456.257758488005,31.10468771311571,0.07508647622852073
27,1.0312795196983668,0.9814392076167857,1.0365420190045929,41425.15307077489,41457.00648357283,31.853412797943747,0.07689389280836736
28,0.9669037029466674,0.9782167692060957,0.9694609684801336,41425.15307077489,41452.9922409489,27.839170174011088,0.06720354207610978
29,0.940208017720548,1.029218348847135,0.9624478127837821,41425.15307077489,41452.71765783879,27.564587063898216,0.06654070056616111
30,1.0006247059363844,1.0288447995343546,1.0357224940823955,41425.15307077489,41456.7668233509,31.613752576013212,0.07631535488113007
31,1.0332692554486393,0.9940908709294346,0.9661361350364677,41425.15307077489,41455.09682002482,29.94374924992735,0.07228397973272047
32,0.9960140894546801,0.8987599339625182,0.884231002206153,41425.15307077489,41450.21584759342,25.062776818529528,0.06050134993034247
33,0.9338650193822798,0.9401651903439111,1.031981938137875,41425.15307077489,41453.17730962027,28.024238845377113,0.06765029642134983
34,0.9547260472319969,0.9773102467576367,1.1039382638228852,41425.15307077489,41456.43202261111,31.278951836218766,0.0755071484775896
35,0.9821868014469287,1.0442509341080253,0.9253105855992099,41425.15307077489,41453.073614768415,27.920543993524916,0.06739997784877863
36,0.9897281221066185,0.9429986767053651,0.972877353927955,41425.15307077489,41453.23379424184,28.080723466948257,0.06778664986215581
37,1.0420154068728698,0.8963607746084591,1.0347538914836687,41425.15307077489,41455.830887474294,30.677816699404502,0.07405601289388464
38,1.0118867801166138,0.9643510026581923,0.8843153716489236,41425.15307077489,41451.56365566128,26.410584886391007,0.06375494821049547
39,1.0036064753856935,0.9682304374561719,1.0186140969083763,41425.15307077489,41455.383350706645,30.23027993175492,0.07297566258863661
40,1.001092607276172,1.096106733479255,0.980851549802158,41425.15307077489,41456.094915489186,30.941844714296167,0.07469337448538094
41,0.9488251253689067,1.0107565380973789,1.0175997347177412,41425.15307077489,41454.30009224352,29.147021468626917,0.070360685013835
42,1.0679593787620218,1.0501066747548746,1.0285496847319608,41425.15307077489,41459.07356224191,33.92049146701902,0.08188380477210512
43,1.073165144560978,0.928674216740629,0.9488198773800202,41425.15307077489,41454.67629236385,29.52322158896277,0.07126882920268836
44,0.9536712029297237,0.9766114118106539,0.8898651081954952,41425.15307077489,41450.32642517806,25.17335440316674,0.06076828336677007
45,1.0317575473407201,0.9866666381740736,0.8823354964397874,41425.15307077489,41452.35261994559,27.199549170698447,0.06565950190751983
46,0.9492210459396229,1.0188108308470116,1.0670501254315505,41425.15307077489,41455.85476792857,30.70169715367956,0.07411366012631432
47,1.0998365445845892,1.1748317479604398,1.0331527546620798,41425.15307077489,41462.36074967225,37.207678897357255,0.08981904987481379
48,0.9505230939984068,0.8720772231561215,1.021416916987507,41425.15307077489,41452.331219550644,27.17814877575438,0.06560784151918643
49,0.9593529452344837,0.9750785643892189,0.9510322560752154,41425.15307077489,41452.19987322647,27.046802451579424,0.06529077250570432
50,0.9929604556791808,1.0639588138472587,1.0125638853956276,41425.15307077489,41456.34923808992,31.196167315029015,0.07530730728195585
