lever,level,industry_group_id,classical_total_inflow,quantum_total_inflow,delta_abs,delta_pct
search_multiplier,0.85,chem_polymer,14390.407989053765,14398.576911400447,8.168922346681939,0.05676644020722502
search_multiplier,0.85,inorganic,11351.207914478344,11355.532118052133,4.324203573789418,0.03809465570861356
search_multiplier,0.85,metal,15683.53716724278,15696.499261923935,12.962094681155577,0.08264777609115304
search_multiplier,1.0,chem_polymer,14390.407989053765,14400.052197997336,9.644208943571357,0.06701831491440229
search_multiplier,1.0,inorganic,11351.207914478344,11356.311254393713,5.103339915369361,0.04495856259367873
search_multiplier,1.0,metal,15683.53716724278,15698.851342478316,15.314175235536823,0.09764490670843425
search_multiplier,1.15,chem_polymer,14390.407989053765,14401.53787113831,11.129882084544079,0.07734236647779658
search_multiplier,1.15,inorganic,11351.207914478344,11357.09531991766,5.887405439316353,0.05186589377688194
search_multiplier,1.15,metal,15683.53716724278,15701.223451693419,17.686284450639505,0.11276974232305029
adoption_multiplier,0.85,chem_polymer,14390.407989053765,14399.283311651758,8.875322597992636,0.06167526733601823
adoption_multiplier,0.85,inorganic,11351.207914478344,11355.905254688303,4.697340209959293,0.041381853326533526
adoption_multiplier,0.85,metal,15683.53716724278,15697.625062893097,14.087895650318387,0.08982600991148153
adoption_multiplier,1.0,chem_polymer,14390.407989053765,14400.052197997336,9.644208943571357,0.06701831491440229
adoption_multiplier,1.0,inorganic,11351.207914478344,11356.311254393713,5.103339915369361,0.04495856259367873
adoption_multiplier,1.0,metal,15683.53716724278,15698.851342478316,15.314175235536823,0.09764490670843425
adoption_multiplier,1.15,chem_polymer,14390.407989053765,14400.767786565699,10.35979751193372,0.07199099233193405
adoption_multiplier,1.15,inorganic,11351.207914478344,11356.68897663485,5.481062156506596,0.048286157718206886
adoption_multiplier,1.15,metal,15683.53716724278,15699.99345634245,16.456289099671267,0.10492715338503159
elasticity_multiplier,0.85,chem_polymer,14390.407989053765,14398.605090452778,8.197101399013263,0.05696225850753145
elasticity_multiplier,0.85,inorganic,11351.207914478344,11355.545584521591,4.337670043247272,0.0382132903910131
elasticity_multiplier,0.85,metal,15683.53716724278,15696.553118064325,13.01595082154563,0.0829911689101055
elasticity_multiplier,1.0,chem_polymer,14390.407989053765,14400.052197997336,9.644208943571357,0.06701831491440229
elasticity_multiplier,1.0,inorganic,11351.207914478344,11356.311254393713,5.103339915369361,0.04495856259367873
elasticity_multiplier,1.0,metal,15683.53716724278,15698.851342478316,15.314175235536823,0.09764490670843425
elasticity_multiplier,1.15,chem_polymer,14390.407989053765,14401.499473666809,11.091484613043576,0.07707553963362572
elasticity_multiplier,1.15,inorganic,11351.207914478344,11357.076983884894,5.869069406549897,0.05170436001849602
elasticity_multiplier,1.15,metal,15683.53716724278,15701.149954645163,17.61278740238413,0.11230111686266063
