reachability_status,customer_count,parcel_equivalent_total,network_hash,sumo_vehicle_class,depot_id,depot_edge_id,depot_scc_id
ROUNDTRIP_REACHABLE,39930,81793,460554c7716fe5e3e1410bbee790e69745a2c423146bac88e51e3a2b95f051b2,delivery,DEP_006,617631294,DELIVERY_SCC_000001
OUTBOUND_ONLY,1,3,460554c7716fe5e3e1410bbee790e69745a2c423146bac88e51e3a2b95f051b2,delivery,DEP_006,617631294,DELIVERY_SCC_000001
INBOUND_ONLY,1,1,460554c7716fe5e3e1410bbee790e69745a2c423146bac88e51e3a2b95f051b2,delivery,DEP_006,617631294,DELIVERY_SCC_000001
UNREACHABLE,24,62,460554c7716fe5e3e1410bbee790e69745a2c423146bac88e51e3a2b95f051b2,delivery,DEP_006,617631294,DELIVERY_SCC_000001
MAPPING_INVALID,0,0,460554c7716fe5e3e1410bbee790e69745a2c423146bac88e51e3a2b95f051b2,delivery,DEP_006,617631294,DELIVERY_SCC_000001
