scenario_route_proxy_id,charger_condition,nearest_charger_distance_km
C025_V05_CHG_conservative_SPEED25_T480__S003_R04,conservative,7.943420295956719
C025_V05_CHG_balanced_SPEED25_T480__S003_R05,balanced,0.9871229075556636
C025_V05_CHG_broad_SPEED25_T480__S003_R05,broad,0.9871229075556636
C025_V05_CHG_conservative_SPEED25_T480__S003_R05,conservative,1.7343592651695778
C025_V01_CHG_balanced_SPEED25_T480__S004_R01,balanced,0.2192674928385306
C025_V01_CHG_broad_SPEED25_T480__S004_R01,broad,0.2192674928385306
C025_V01_CHG_conservative_SPEED25_T480__S004_R01,conservative,1.042478089729524
C025_V03_CHG_balanced_SPEED25_T480__S004_R01,balanced,0.3327784868776917
C025_V03_CHG_broad_SPEED25_T480__S004_R01,broad,0.3327784868776917
C025_V03_CHG_conservative_SPEED25_T480__S004_R01,conservative,4.251643220173399
C025_V03_CHG_balanced_SPEED25_T480__S004_R02,balanced,1.0052578634730038
C025_V03_CHG_broad_SPEED25_T480__S004_R02,broad,1.0052578634730038
C025_V03_CHG_conservative_SPEED25_T480__S004_R02,conservative,6.0019896292323915
C025_V03_CHG_balanced_SPEED25_T480__S004_R03,balanced,0.2192674928385306
C025_V03_CHG_broad_SPEED25_T480__S004_R03,broad,0.2192674928385306
C025_V03_CHG_conservative_SPEED25_T480__S004_R03,conservative,1.042478089729524
C025_V05_CHG_balanced_SPEED25_T480__S004_R01,balanced,0.2192674928385306
C025_V05_CHG_broad_SPEED25_T480__S004_R01,broad,0.2192674928385306
C025_V05_CHG_conservative_SPEED25_T480__S004_R01,conservative,1.042478089729524
C025_V05_CHG_balanced_SPEED25_T480__S004_R02,balanced,1.7073751033738558
C025_V05_CHG_broad_SPEED25_T480__S004_R02,broad,1.7073751033738558
C025_V05_CHG_conservative_SPEED25_T480__S004_R02,conservative,9.123655509180232
C025_V05_CHG_balanced_SPEED25_T480__S004_R03,balanced,0.5051924988357934
C025_V05_CHG_broad_SPEED25_T480__S004_R03,broad,0.5051924988357934
C025_V05_CHG_conservative_SPEED25_T480__S004_R03,conservative,4.251643220173399
C025_V05_CHG_balanced_SPEED25_T480__S004_R04,balanced,1.0052578634730038
C025_V05_CHG_broad_SPEED25_T480__S004_R04,broad,1.0052578634730038
C025_V05_CHG_conservative_SPEED25_T480__S004_R04,conservative,6.0019896292323915
C025_V05_CHG_balanced_SPEED25_T480__S004_R05,balanced,0.3327784868776917
C025_V05_CHG_broad_SPEED25_T480__S004_R05,broad,0.3327784868776917
C025_V05_CHG_conservative_SPEED25_T480__S004_R05,conservative,6.257462922513776
C025_V01_CHG_balanced_SPEED25_T480__S005_R01,balanced,0.1352104639503605
C025_V01_CHG_broad_SPEED25_T480__S005_R01,broad,0.1352104639503605
C025_V01_CHG_conservative_SPEED25_T480__S005_R01,conservative,1.2573680870297217
C025_V03_CHG_balanced_SPEED25_T480__S005_R01,balanced,0.4745577807654347
C025_V03_CHG_broad_SPEED25_T480__S005_R01,broad,0.4745577807654347
C025_V03_CHG_conservative_SPEED25_T480__S005_R01,conservative,2.213788565339229
C025_V03_CHG_balanced_SPEED25_T480__S005_R02,balanced,0.1352104639503605
C025_V03_CHG_broad_SPEED25_T480__S005_R02,broad,0.1352104639503605
C025_V03_CHG_conservative_SPEED25_T480__S005_R02,conservative,1.2573680870297217
C025_V03_CHG_balanced_SPEED25_T480__S005_R03,balanced,0.859165609386225
C025_V03_CHG_broad_SPEED25_T480__S005_R03,broad,0.859165609386225
C025_V03_CHG_conservative_SPEED25_T480__S005_R03,conservative,3.997484443603043
C025_V05_CHG_balanced_SPEED25_T480__S005_R01,balanced,0.5529665642366849
C025_V05_CHG_broad_SPEED25_T480__S005_R01,broad,0.5529665642366849
C025_V05_CHG_conservative_SPEED25_T480__S005_R01,conservative,2.213788565339229
C025_V05_CHG_balanced_SPEED25_T480__S005_R02,balanced,1.2573680870297217
C025_V05_CHG_broad_SPEED25_T480__S005_R02,broad,1.2573680870297217
C025_V05_CHG_conservative_SPEED25_T480__S005_R02,conservative,1.2573680870297217
C025_V05_CHG_balanced_SPEED25_T480__S005_R03,balanced,0.859165609386225
C025_V05_CHG_broad_SPEED25_T480__S005_R03,broad,0.859165609386225
C025_V05_CHG_conservative_SPEED25_T480__S005_R03,conservative,3.997484443603043
C025_V05_CHG_balanced_SPEED25_T480__S005_R04,balanced,0.4745577807654347
C025_V05_CHG_broad_SPEED25_T480__S005_R04,broad,0.4745577807654347
C025_V05_CHG_conservative_SPEED25_T480__S005_R04,conservative,3.997484443603043
C025_V05_CHG_balanced_SPEED25_T480__S005_R05,balanced,0.1352104639503605
C025_V05_CHG_broad_SPEED25_T480__S005_R05,broad,0.1352104639503605
C025_V05_CHG_conservative_SPEED25_T480__S005_R05,conservative,3.997484443603043
C025_V01_CHG_balanced_SPEED25_T480__S006_R01,balanced,0.6261295414332837
C025_V01_CHG_broad_SPEED25_T480__S006_R01,broad,0.6261295414332837
C025_V01_CHG_conservative_SPEED25_T480__S006_R01,conservative,1.5720270365754996
C025_V03_CHG_balanced_SPEED25_T480__S006_R01,balanced,0.6261295414332837
C025_V03_CHG_broad_SPEED25_T480__S006_R01,broad,0.6261295414332837
C025_V03_CHG_conservative_SPEED25_T480__S006_R01,conservative,3.997484443603043
C025_V03_CHG_balanced_SPEED25_T480__S006_R02,balanced,1.782539913166346
C025_V03_CHG_broad_SPEED25_T480__S006_R02,broad,1.782539913166346
C025_V03_CHG_conservative_SPEED25_T480__S006_R02,conservative,2.3125185614100294
C025_V03_CHG_balanced_SPEED25_T480__S006_R03,balanced,0.9501094301986376
C025_V03_CHG_broad_SPEED25_T480__S006_R03,broad,0.9501094301986376
C025_V03_CHG_conservative_SPEED25_T480__S006_R03,conservative,1.5720270365754996
C025_V05_CHG_balanced_SPEED25_T480__S006_R01,balanced,0.6261295414332837
C025_V05_CHG_broad_SPEED25_T480__S006_R01,broad,0.6261295414332837
C025_V05_CHG_conservative_SPEED25_T480__S006_R01,conservative,3.997484443603043
C025_V05_CHG_balanced_SPEED25_T480__S006_R02,balanced,2.3125185614100294
C025_V05_CHG_broad_SPEED25_T480__S006_R02,broad,2.3125185614100294
C025_V05_CHG_conservative_SPEED25_T480__S006_R02,conservative,2.3125185614100294
C025_V05_CHG_balanced_SPEED25_T480__S006_R03,balanced,1.5720270365754996
C025_V05_CHG_broad_SPEED25_T480__S006_R03,broad,1.5720270365754996
C025_V05_CHG_conservative_SPEED25_T480__S006_R03,conservative,1.5720270365754996
C025_V05_CHG_balanced_SPEED25_T480__S006_R04,balanced,0.9501094301986376
C025_V05_CHG_broad_SPEED25_T480__S006_R04,broad,0.9501094301986376
C025_V05_CHG_conservative_SPEED25_T480__S006_R04,conservative,2.7906045205523173
C025_V05_CHG_balanced_SPEED25_T480__S006_R05,balanced,1.782539913166346
C025_V05_CHG_broad_SPEED25_T480__S006_R05,broad,1.782539913166346
C025_V05_CHG_conservative_SPEED25_T480__S006_R05,conservative,2.449160675673182
C025_V01_CHG_balanced_SPEED25_T480__S007_R01,balanced,0.2697296211981738
C025_V01_CHG_broad_SPEED25_T480__S007_R01,broad,0.2697296211981738
C025_V01_CHG_conservative_SPEED25_T480__S007_R01,conservative,3.0117893911548177
C025_V03_CHG_balanced_SPEED25_T480__S007_R01,balanced,0.2697296211981738
C025_V03_CHG_broad_SPEED25_T480__S007_R01,broad,0.2697296211981738
C025_V03_CHG_conservative_SPEED25_T480__S007_R01,conservative,3.997484443603043
C025_V03_CHG_balanced_SPEED25_T480__S007_R02,balanced,0.8299311390910735
C025_V03_CHG_broad_SPEED25_T480__S007_R02,broad,0.8299311390910735
C025_V03_CHG_conservative_SPEED25_T480__S007_R02,conservative,3.997484443603043
C025_V03_CHG_balanced_SPEED25_T480__S007_R03,balanced,0.5664093716393642
C025_V03_CHG_broad_SPEED25_T480__S007_R03,broad,0.5664093716393642
C025_V03_CHG_conservative_SPEED25_T480__S007_R03,conservative,3.0117893911548177
C025_V05_CHG_balanced_SPEED25_T480__S007_R01,balanced,0.8299311390910735
C025_V05_CHG_broad_SPEED25_T480__S007_R01,broad,0.8299311390910735
C025_V05_CHG_conservative_SPEED25_T480__S007_R01,conservative,3.997484443603043
C025_V05_CHG_balanced_SPEED25_T480__S007_R02,balanced,0.2697296211981738
C025_V05_CHG_broad_SPEED25_T480__S007_R02,broad,0.2697296211981738
C025_V05_CHG_conservative_SPEED25_T480__S007_R02,conservative,3.997484443603043
C025_V05_CHG_balanced_SPEED25_T480__S007_R03,balanced,1.1432611413728182
C025_V05_CHG_broad_SPEED25_T480__S007_R03,broad,1.1432611413728182
C025_V05_CHG_conservative_SPEED25_T480__S007_R03,conservative,3.0117893911548177
C025_V05_CHG_balanced_SPEED25_T480__S007_R04,balanced,2.8278035297587483
C025_V05_CHG_broad_SPEED25_T480__S007_R04,broad,2.8278035297587483
C025_V05_CHG_conservative_SPEED25_T480__S007_R04,conservative,3.997484443603043
C025_V05_CHG_balanced_SPEED25_T480__S007_R05,balanced,0.5664093716393642
C025_V05_CHG_broad_SPEED25_T480__S007_R05,broad,0.5664093716393642
C025_V05_CHG_conservative_SPEED25_T480__S007_R05,conservative,3.997484443603043
C025_V01_CHG_balanced_SPEED25_T480__S008_R01,balanced,0.6260667280370227
C025_V01_CHG_broad_SPEED25_T480__S008_R01,broad,0.6260667280370227
C025_V01_CHG_conservative_SPEED25_T480__S008_R01,conservative,1.4469118399338807
C025_V03_CHG_balanced_SPEED25_T480__S008_R01,balanced,1.1617054132463407
C025_V03_CHG_broad_SPEED25_T480__S008_R01,broad,1.1617054132463407
C025_V03_CHG_conservative_SPEED25_T480__S008_R01,conservative,3.1844109560057814
C025_V03_CHG_balanced_SPEED25_T480__S008_R02,balanced,0.6260667280370227
C025_V03_CHG_broad_SPEED25_T480__S008_R02,broad,0.6260667280370227
C025_V03_CHG_conservative_SPEED25_T480__S008_R02,conservative,1.4469118399338807
C025_V03_CHG_balanced_SPEED25_T480__S008_R03,balanced,2.191920800623937
C025_V03_CHG_broad_SPEED25_T480__S008_R03,broad,2.191920800623937
C025_V03_CHG_conservative_SPEED25_T480__S008_R03,conservative,3.308020313084137
C025_V05_CHG_balanced_SPEED25_T480__S008_R01,balanced,0.6260667280370227
C025_V05_CHG_broad_SPEED25_T480__S008_R01,broad,0.6260667280370227
C025_V05_CHG_conservative_SPEED25_T480__S008_R01,conservative,1.4469118399338807
C025_V05_CHG_balanced_SPEED25_T480__S008_R02,balanced,1.1617054132463407
C025_V05_CHG_broad_SPEED25_T480__S008_R02,broad,1.1617054132463407
C025_V05_CHG_conservative_SPEED25_T480__S008_R02,conservative,3.1844109560057814
C025_V05_CHG_balanced_SPEED25_T480__S008_R03,balanced,2.191920800623937
C025_V05_CHG_broad_SPEED25_T480__S008_R03,broad,2.191920800623937
C025_V05_CHG_conservative_SPEED25_T480__S008_R03,conservative,3.308020313084137
C025_V05_CHG_balanced_SPEED25_T480__S008_R04,balanced,2.8278035297587483
C025_V05_CHG_broad_SPEED25_T480__S008_R04,broad,2.8278035297587483
C025_V05_CHG_conservative_SPEED25_T480__S008_R04,conservative,3.997484443603043
C025_V05_CHG_balanced_SPEED25_T480__S008_R05,balanced,1.715195727245119
C025_V05_CHG_broad_SPEED25_T480__S008_R05,broad,1.715195727245119
C025_V05_CHG_conservative_SPEED25_T480__S008_R05,conservative,3.997484443603043
C025_V01_CHG_balanced_SPEED25_T480__S009_R01,balanced,0.2697296211981738
C025_V01_CHG_broad_SPEED25_T480__S009_R01,broad,0.2697296211981738
C025_V01_CHG_conservative_SPEED25_T480__S009_R01,conservative,1.999033186906228
C025_V03_CHG_balanced_SPEED25_T480__S009_R01,balanced,0.3327784868776917
C025_V03_CHG_broad_SPEED25_T480__S009_R01,broad,0.3327784868776917
C025_V03_CHG_conservative_SPEED25_T480__S009_R01,conservative,1.999033186906228
C025_V03_CHG_balanced_SPEED25_T480__S009_R02,balanced,1.428139262949616
C025_V03_CHG_broad_SPEED25_T480__S009_R02,broad,1.428139262949616
C025_V03_CHG_conservative_SPEED25_T480__S009_R02,conservative,2.478270558279743
C025_V03_CHG_balanced_SPEED25_T480__S009_R03,balanced,0.2697296211981738
C025_V03_CHG_broad_SPEED25_T480__S009_R03,broad,0.2697296211981738
