constraint_name,route_weighted_unmet_rate,evaluated_route_count,evidence_status
Payload capacity,0.0,8100,Synthetic data with assumed parameters
Operating-time limit,0.3351851851851852,8100,Synthetic route proxy with assumed parameters
Range feasibility,0.6444444444444445,8100,Manufacturer range with assumed usable ratio and route proxy
SOC feasibility,,0,Not evaluated
Charging-station access,0.1069135802469135,8100,Public candidate geography with substantial attribute missingness
Charging-assisted range feasibility,0.3329501915708812,5220,Simplified proxy with public candidate geography
Charging-duration feasibility,0.1530212414930913,4849,Simplified duration proxy; actual charging behavior not evaluated
