scenario_id,seed,constraint_name,case_unmet_rate
C025_V03_CHG_conservative_SPEED25_T480,9,Payload capacity,0.0
C025_V05_CHG_balanced_SPEED25_T480,9,Payload capacity,0.0
C025_V05_CHG_broad_SPEED25_T480,9,Payload capacity,0.0
C025_V05_CHG_conservative_SPEED25_T480,9,Payload capacity,0.0
C025_V01_CHG_balanced_SPEED25_T480,10,Payload capacity,0.0
C025_V01_CHG_broad_SPEED25_T480,10,Payload capacity,0.0
C025_V01_CHG_conservative_SPEED25_T480,10,Payload capacity,0.0
C025_V03_CHG_balanced_SPEED25_T480,10,Payload capacity,0.0
C025_V03_CHG_broad_SPEED25_T480,10,Payload capacity,0.0
C025_V03_CHG_conservative_SPEED25_T480,10,Payload capacity,0.0
C025_V05_CHG_balanced_SPEED25_T480,10,Payload capacity,0.0
C025_V05_CHG_broad_SPEED25_T480,10,Payload capacity,0.0
C025_V05_CHG_conservative_SPEED25_T480,10,Payload capacity,0.0
C025_V01_CHG_balanced_SPEED25_T480,11,Payload capacity,0.0
C025_V01_CHG_broad_SPEED25_T480,11,Payload capacity,0.0
C025_V01_CHG_conservative_SPEED25_T480,11,Payload capacity,0.0
C025_V03_CHG_balanced_SPEED25_T480,11,Payload capacity,0.0
C025_V03_CHG_broad_SPEED25_T480,11,Payload capacity,0.0
C025_V03_CHG_conservative_SPEED25_T480,11,Payload capacity,0.0
C025_V05_CHG_balanced_SPEED25_T480,11,Payload capacity,0.0
C025_V05_CHG_broad_SPEED25_T480,11,Payload capacity,0.0
C025_V05_CHG_conservative_SPEED25_T480,11,Payload capacity,0.0
C025_V01_CHG_balanced_SPEED25_T480,12,Payload capacity,0.0
C025_V01_CHG_broad_SPEED25_T480,12,Payload capacity,0.0
C025_V01_CHG_conservative_SPEED25_T480,12,Payload capacity,0.0
C025_V03_CHG_balanced_SPEED25_T480,12,Payload capacity,0.0
C025_V03_CHG_broad_SPEED25_T480,12,Payload capacity,0.0
C025_V03_CHG_conservative_SPEED25_T480,12,Payload capacity,0.0
C025_V05_CHG_balanced_SPEED25_T480,12,Payload capacity,0.0
C025_V05_CHG_broad_SPEED25_T480,12,Payload capacity,0.0
C025_V05_CHG_conservative_SPEED25_T480,12,Payload capacity,0.0
C025_V01_CHG_balanced_SPEED25_T480,13,Payload capacity,0.0
C025_V01_CHG_broad_SPEED25_T480,13,Payload capacity,0.0
C025_V01_CHG_conservative_SPEED25_T480,13,Payload capacity,0.0
C025_V03_CHG_balanced_SPEED25_T480,13,Payload capacity,0.0
C025_V03_CHG_broad_SPEED25_T480,13,Payload capacity,0.0
C025_V03_CHG_conservative_SPEED25_T480,13,Payload capacity,0.0
C025_V05_CHG_balanced_SPEED25_T480,13,Payload capacity,0.0
C025_V05_CHG_broad_SPEED25_T480,13,Payload capacity,0.0
C025_V05_CHG_conservative_SPEED25_T480,13,Payload capacity,0.0
C025_V01_CHG_balanced_SPEED25_T480,14,Payload capacity,0.0
C025_V01_CHG_broad_SPEED25_T480,14,Payload capacity,0.0
C025_V01_CHG_conservative_SPEED25_T480,14,Payload capacity,0.0
C025_V03_CHG_balanced_SPEED25_T480,14,Payload capacity,0.0
C025_V03_CHG_broad_SPEED25_T480,14,Payload capacity,0.0
