file,rows,columns,comparison
03_data/processed/traffic_simulation/demand/household_parcel_v1/pipelines_v1/household_building_assignment.parquet,384353,"household_id,chocho_code,housing_type,assignment_method,assignment_seed,source_distribution_ref,analytical_status,household_size_class,building_id,candidate_count,mapping_status,assignment_status",ROW_VALUE_EQUAL
03_data/processed/traffic_simulation/demand/household_parcel_v1/pipelines_v1/request_building_mapping.parquet,73547,"request_id,household_id,evaluation_date,parcel_equivalent,generation_seed,generation_model_version,distribution,provenance_type,building_id,chocho_code,assignment_status",ROW_VALUE_EQUAL
03_data/processed/traffic_simulation/demand/household_parcel_v1/pipelines_v1/building_delivery_stops.parquet,39956,"stop_id,building_id,chocho_code,request_count,request_ids,household_count,parcel_equivalent,evaluation_date,stop_generation_version,building_representative_point",TYPE_OR_VALUE_DIFFERENCE_RETAIN_SEPARATE; scoped CSV primary
